Rotation amount,Type,Time,Date
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
0.69,Food,20:22:40.437651,2021-02-16
-,END,20:23:04.461222,2021-02-16
+,START,20:23:58.488021,2021-02-16
-,END,20:24:56.224606,2021-02-16
+,START,20:25:05.554731,2021-02-16
-,END,20:26:14.131325,2021-02-16
+,START,20:26:18.212212,2021-02-16
0.6816666666666666,Run,20:27:12.913293,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
0.69,Food,20:22:40.437651,2021-02-16
-,END,20:23:04.461222,2021-02-16
+,START,20:23:58.488021,2021-02-16
-,END,20:24:56.224606,2021-02-16
+,START,20:25:05.554731,2021-02-16
-,END,20:26:14.131325,2021-02-16
+,START,20:26:18.212212,2021-02-16
0.6816666666666666,Run,20:27:12.913293,2021-02-16
0.9683333333333334,Run,20:27:42.883289,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
0.69,Food,20:22:40.437651,2021-02-16
-,END,20:23:04.461222,2021-02-16
+,START,20:23:58.488021,2021-02-16
-,END,20:24:56.224606,2021-02-16
+,START,20:25:05.554731,2021-02-16
-,END,20:26:14.131325,2021-02-16
+,START,20:26:18.212212,2021-02-16
0.6816666666666666,Run,20:27:12.913293,2021-02-16
0.9683333333333334,Run,20:27:42.883289,2021-02-16
-,END,20:28:24.933724,2021-02-16
+,START,20:08:51.750933,2021-02-17
+,START,20:08:51.750933,2021-02-17
1.1675,Run,20:11:29.944586,2021-02-17
+,START,20:08:51.750933,2021-02-17
1.1675,Run,20:11:29.944586,2021-02-17
-,END,20:12:08.524393,2021-02-17
+,START,20:08:51.750933,2021-02-17
1.1675,Run,20:11:29.944586,2021-02-17
-,END,20:12:08.524393,2021-02-17
+,START,20:12:54.467677,2021-02-17
+,START,20:08:51.750933,2021-02-17
1.1675,Run,20:11:29.944586,2021-02-17
-,END,20:12:08.524393,2021-02-17
+,START,20:12:54.467677,2021-02-17
0.7425,Food,20:14:52.145018,2021-02-17
+,START,20:08:51.750933,2021-02-17
1.1675,Run,20:11:29.944586,2021-02-17
-,END,20:12:08.524393,2021-02-17
+,START,20:12:54.467677,2021-02-17
0.7425,Food,20:14:52.145018,2021-02-17
1.435,Run,20:16:44.801181,2021-02-17
+,START,20:08:51.750933,2021-02-17
1.1675,Run,20:11:29.944586,2021-02-17
-,END,20:12:08.524393,2021-02-17
+,START,20:12:54.467677,2021-02-17
0.7425,Food,20:14:52.145018,2021-02-17
1.435,Run,20:16:44.801181,2021-02-17
0.6341666666666667,Food,20:17:18.770842,2021-02-17
+,START,20:08:51.750933,2021-02-17
1.1675,Run,20:11:29.944586,2021-02-17
-,END,20:12:08.524393,2021-02-17
+,START,20:12:54.467677,2021-02-17
0.7425,Food,20:14:52.145018,2021-02-17
1.435,Run,20:16:44.801181,2021-02-17
0.6341666666666667,Food,20:17:18.770842,2021-02-17
1.4633333333333334,Run,20:19:48.952546,2021-02-17
+,START,20:08:51.750933,2021-02-17
1.1675,Run,20:11:29.944586,2021-02-17
-,END,20:12:08.524393,2021-02-17
+,START,20:12:54.467677,2021-02-17
0.7425,Food,20:14:52.145018,2021-02-17
1.435,Run,20:16:44.801181,2021-02-17
0.6341666666666667,Food,20:17:18.770842,2021-02-17
1.4633333333333334,Run,20:19:48.952546,2021-02-17
-,END,20:20:22.924613,2021-02-17
+,START,20:21:09.294270,2021-02-17
+,START,20:21:09.294270,2021-02-17
0.9116666666666666,Run,20:24:59.128134,2021-02-17
+,START,20:21:09.294270,2021-02-17
0.9116666666666666,Run,20:24:59.128134,2021-02-17
