Rotation,Type,Date_Time
+,START,2021-02-23 18:19:59.810908
+,START,2021-02-23 18:26:18.509859
18.4167,Run,2021-02-23 18:28:27.850782
-,END,2021-02-23 18:28:37.899681
+,START,2021-02-23 18:34:19.107876
-,END,2021-02-23 18:35:08.951654
