Rotation,Type,Date_Time
+,START,2021-02-24 19:04:53.566537
0.495,Food,2021-02-24 19:05:56.315332
-,END,2021-02-24 19:12:44.544449
+,START,2021-02-24 19:16:02.319546
1.1608,Run,2021-02-24 19:19:40.075627
-,END,2021-02-24 19:23:21.626683
+,START,2021-02-24 19:25:03.551779
0.9842,Run,2021-02-24 19:26:58.041366
-,END,2021-02-24 19:27:36.714516
+,START,2021-02-24 19:28:44.863017
6.5875,Run,2021-02-24 19:30:54.924283
-,END,2021-02-24 19:31:37.512305
+,START,2021-02-24 19:36:34.403894
0.5517,Food,2021-02-24 19:46:47.124790
-,END,2021-02-24 19:47:09.988967
+,START,2021-02-24 19:47:22.825654
2.1342,Run,2021-02-24 19:51:50.684679
-,END,2021-02-24 19:52:33.945479
+,START,2021-02-24 19:53:53.637687
1.595,Run,2021-02-24 19:58:50.795371
1.7942,Run,2021-02-24 20:05:41.666101
0.54,Food,2021-02-24 20:16:22.055152
2.3358,Run,2021-02-24 20:22:12.490625
0.5825,Food,2021-02-24 20:30:21.756703
-,END,2021-02-24 20:31:29.660869
+,START,2021-02-25 16:27:20.844322
0.7283,Run,2021-02-25 16:30:41.967988
13.295,Run,2021-02-25 16:32:06.034999
0.5508,Food,2021-02-25 16:35:08.740881
0.8675,Run,2021-02-25 16:36:34.887345
-,END,2021-02-25 16:37:25.877334
+,START,2021-02-25 16:37:28.450602
2.285,Run,2021-02-25 16:39:58.079286
7.5983,Run,2021-02-25 16:43:11.376569
0.5008,Run,2021-02-25 16:43:40.902938
-,END,2021-02-25 16:45:03.363297
+,START,2021-02-25 16:45:20.499573
4.6933,Run,2021-02-25 16:48:14.587876
0.4742,Food,2021-02-25 16:52:49.264963
-,END,2021-02-25 16:54:41.935338
+,START,2021-02-25 16:54:43.900727
0.4775,Run,2021-02-25 16:55:30.308189
-,END,2021-02-25 16:57:42.061226
+,START,2021-02-25 16:58:15.601123
0.7892,Run,2021-02-25 17:03:00.509681
0.4758,Run,2021-02-25 17:04:42.184376
2.7025,Run,2021-02-25 17:07:07.601049
0.5525,Food,2021-02-25 17:11:46.762986
-,END,2021-02-25 17:12:23.082660
+,START,2021-02-25 17:12:38.317813
4.5408,Run,2021-02-25 17:14:50.632549
1.2958,Run,2021-02-25 17:15:32.156092
-,END,2021-02-25 17:16:22.334221
+,START,2021-02-25 17:17:25.247871
0.5825,Food,2021-02-25 17:33:53.325360
