Rotation,Type,Date_Time
+,START,2021-02-26 14:04:37.819775
0.5467,Food,2021-02-26 14:05:08.008507
0.6667,Run,2021-02-26 14:05:15.761874
-,END,2021-02-26 14:05:37.037233
+,START,2021-02-26 14:06:05.533036
-,END,2021-02-26 14:06:41.436448
