Rotation,Type,Date_Time
+,START,2021-02-23 17:47:06.559309
-,END,2021-02-23 18:07:55.569650
+,START,2021-02-23 18:11:57.169045
-,END,2021-02-23 18:13:25.993998
+,START,2021-02-23 18:14:21.873454
