Weight_Mean,Weight_Median,Weight_Mode,Date_Time
23.001,20.35,21.3,2021-02-25 12:11:58.371961
18.849,19.05,NO MODE,2021-02-25 12:13:31.353728
19.649,20.25,21.1,2021-02-25 12:15:56.896417
0.0,0.0,0.0,2021-02-25 12:22:43.915580
19.855,20.15,20.5,2021-02-25 12:56:45.785899
19.798,20.1,20.3,2021-02-25 13:01:17.386243
19.577,20.0,20.5,2021-02-25 13:10:16.326322
19.341,19.95,20.4,2021-02-25 13:20:33.045655
18.267,18.2,18.0,2021-02-25 13:22:19.324663
19.108999999999998,19.4,19.9,2021-02-25 13:33:15.585257
18.707,19.3,NO MODE,2021-02-25 13:39:40.815480
19.279,19.5,NO MODE,2021-02-25 13:42:43.157697
18.971,19.1,20.1,2021-02-25 13:45:48.076133
19.561,19.7,19.9,2021-02-25 13:49:28.303501
19.085,19.5,NO MODE,2021-02-25 14:02:31.772179
19.368,19.5,19.6,2021-02-25 14:07:56.371852
18.683,18.9,18.9,2021-02-25 14:25:17.422112
19.084,19.35,19.4,2021-02-25 14:29:43.461691
19.317,19.6,20.0,2021-02-25 14:44:05.085365
18.642,19.3,19.9,2021-02-25 14:46:27.065878
19.286,19.6,19.9,2021-02-25 14:58:57.523573
19.132,19.5,NO MODE,2021-02-25 15:15:47.434576
17.95,18.35,19.6,2021-02-25 16:02:50.663056
18.672,19.2,19.4,2021-02-25 16:03:21.149329
19.116,19.5,19.6,2021-02-25 16:03:48.406279
28.112,19.3,19.5,2021-02-25 16:05:31.490812
19.823,20.2,20.3,2021-02-26 17:44:46.358667
19.406,19.8,19.9,2021-02-26 17:50:50.418077
19.618,19.95,20.2,2021-02-26 18:00:06.964807
19.709,19.9,19.8,2021-02-26 18:07:23.909381
11.084999999999999,19.6,NO MODE,2021-02-26 18:33:43.438871
19.713,20.0,20.0,2021-03-01 13:29:30.058090
0.0,-0.0,-0.0,2021-03-01 13:49:49.068686
19.13,19.8,20.4,2021-03-01 14:05:26.577649
19.34,19.7,20.1,2021-03-01 14:09:35.865534
19.323,19.85,20.1,2021-03-01 14:12:36.090653
19.424,19.8,20.0,2021-03-01 14:16:56.507665
19.491,19.75,19.9,2021-03-01 14:25:20.209183
19.221,19.0,20.0,2021-03-01 14:35:58.428962
18.72,19.4,19.5,2021-03-01 14:56:06.359147
19.07,19.3,NO MODE,2021-03-01 15:05:40.452625
18.918,19.3,19.7,2021-03-01 15:12:27.912004
19.139,19.3,19.6,2021-03-01 15:16:50.195613
17.956,18.8,19.8,2021-03-01 15:20:26.306640
18.843,19.1,19.5,2021-03-01 15:32:13.350019
18.877,19.2,19.3,2021-03-01 15:43:07.300798
19.774,20.1,20.2,2021-03-03 12:22:49.249053
