Weight_Mean,Weight_Median,Weight_Mode,Date_Time
14.415000000000001,18.5,18.7,2021-02-24 18:29:00.934706
17.927,18.6,18.7,2021-02-24 18:31:13.447942
18.223,18.5,18.8,2021-02-24 18:34:55.134278
18.134,18.7,18.7,2021-02-24 18:41:00.666192
14.42,18.299999999999997,7.7,2021-02-24 18:46:50.459337
18.539,18.7,18.7,2021-02-24 18:50:19.474136
17.758,18.5,18.6,2021-02-25 18:15:40.811615
18.067,18.25,18.5,2021-02-25 18:20:00.896323
16.674,17.4,18.6,2021-02-25 18:31:19.317418
17.842,18.3,NO MODE,2021-02-25 18:41:58.911421
17.729,17.95,18.4,2021-02-25 19:01:34.912790
17.730999999999998,17.9,18.0,2021-02-25 19:26:05.227212
17.423,17.8,18.0,2021-02-25 19:49:22.016091
17.794,17.9,17.9,2021-02-25 19:52:59.464819
16.824,17.7,18.0,2021-02-25 20:11:25.898303
15.236,15.35,18.8,2021-02-26 16:47:39.130597
15.994,16.65,NO MODE,2021-02-26 16:58:21.063017
15.737,17.15,19.0,2021-02-26 17:04:04.065191
17.983,18.65,18.8,2021-02-26 17:05:59.204587
15.92,18.299999999999997,18.9,2021-02-26 17:10:07.853668
18.335,18.7,18.7,2021-02-26 17:11:43.137861
18.222,18.6,18.9,2021-03-01 12:07:33.437102
17.446,18.5,18.8,2021-03-01 12:09:46.677663
16.96,18.5,NO MODE,2021-03-01 12:14:25.133726
18.435,18.7,19.0,2021-03-01 12:16:45.795894
18.522,18.8,18.8,2021-03-01 12:20:11.907228
18.517,18.75,18.8,2021-03-01 12:24:53.451592
18.727,18.8,18.9,2021-03-01 12:27:36.230654
18.763,18.8,18.8,2021-03-01 12:31:28.555775
18.689,18.7,NO MODE,2021-03-01 12:36:02.190849
18.373,18.7,18.7,2021-03-01 12:39:27.010069
13.685,18.25,0.0,2021-03-01 12:41:01.397894
18.768,18.8,18.7,2021-03-01 12:42:50.503457
5.706,1.3,0.0,2021-03-01 12:49:22.699572
11.013,18.299999999999997,0.0,2021-03-01 12:50:49.028104
10.49,14.55,18.5,2021-03-01 12:55:00.205378
