Rotation,Type,Date_Time
+,START,2021-02-24 18:28:49.204808
0.6883,Run,2021-02-24 18:29:59.623324
-,END,2021-02-24 18:30:27.600804
+,START,2021-02-24 18:31:01.639206
10.8983,Run,2021-02-24 18:33:57.546950
-,END,2021-02-24 18:34:20.717906
+,START,2021-02-24 18:34:43.386138
0.6825,Run,2021-02-24 18:35:33.626154
0.455,Run,2021-02-24 18:36:11.807317
0.4608,Food,2021-02-24 18:37:31.333482
0.8308,Run,2021-02-24 18:38:14.579086
0.4625,Food,2021-02-24 18:39:49.261646
0.4675,Run,2021-02-24 18:40:21.862733
-,END,2021-02-24 18:40:43.453970
+,START,2021-02-24 18:40:48.834248
0.52,Food,2021-02-24 18:44:37.767185
0.4367,Run,2021-02-24 18:45:06.908647
-,END,2021-02-24 18:46:17.812073
+,START,2021-02-24 18:46:38.662985
1.175,Run,2021-02-24 18:48:34.378500
-,END,2021-02-24 18:49:15.806794
+,START,2021-02-24 18:50:07.658116
0.5683,Food,2021-02-24 19:00:35.552502
-,END,2021-02-24 19:01:14.059626
+,START,2021-02-25 18:15:28.057247
0.7217,Run,2021-02-25 18:17:32.596194
0.545,Food,2021-02-25 18:18:52.462414
-,END,2021-02-25 18:19:39.802808
+,START,2021-02-25 18:19:47.994687
0.8158,Run,2021-02-25 18:24:33.750860
0.9475,Run,2021-02-25 18:25:33.247210
0.5325,Food,2021-02-25 18:29:54.936011
-,END,2021-02-25 18:30:38.376061
+,START,2021-02-25 18:31:06.589657
1.995,Run,2021-02-25 18:39:36.258412
-,END,2021-02-25 18:41:08.448233
+,START,2021-02-25 18:41:46.129027
33.1517,Run,2021-02-25 18:51:39.177266
0.45,Food,2021-02-25 18:59:20.295170
-,END,2021-02-25 19:00:44.171137
+,START,2021-02-25 19:01:22.125263
33.7675,Run,2021-02-25 19:08:31.922583
1.285,Run,2021-02-25 19:14:31.272770
0.4708,Food,2021-02-25 19:20:35.230301
0.4917,Run,2021-02-25 19:21:47.171861
-,END,2021-02-25 19:22:47.753118
+,START,2021-02-25 19:25:52.423169
32.5783,Run,2021-02-25 19:41:01.274440
1.0675,Run,2021-02-25 19:42:36.683169
0.56,Food,2021-02-25 19:47:54.116652
-,END,2021-02-25 19:48:53.982114
+,START,2021-02-25 19:49:09.211590
11.805,Run,2021-02-25 19:51:06.269817
-,END,2021-02-25 19:51:51.197918
+,START,2021-02-25 19:52:46.656292
0.5425,Run,2021-02-25 19:53:17.533146
0.8708,Run,2021-02-25 20:08:31.136661
-,END,2021-02-25 20:10:46.213616
+,START,2021-02-25 20:11:13.120756
0.5858,Food,2021-02-25 20:17:50.113818
0.6167,Run,2021-02-25 20:27:23.394248
-,END,2021-02-25 20:28:26.137809
