Rotation,Type,Date_Time
+,Session start,2021-03-03 09:38:04.765198
*,BB2,2021-03-03 09:38:20.392991
*,BB4,2021-03-03 09:38:25.422151
*,BB2,2021-03-03 09:38:59.808639
0.5633,Food,2021-03-03 09:38:59.840796
*,BB5,2021-03-03 09:39:07.488613
-,END,2021-03-03 09:39:22.535206
+,Session start,2021-03-03 09:39:31.119836
*,BB2,2021-03-03 09:39:45.386019
*,BB3,2021-03-03 09:39:48.349498
*,BB2,2021-03-03 09:39:57.943198
0.5283,Run,2021-03-03 09:39:57.965900
*,BB3,2021-03-03 09:40:04.964241
*,BB2,2021-03-03 09:40:46.233487
0.9675,Run,2021-03-03 09:40:46.260136
*,BB4,2021-03-03 09:40:55.294997
*,BB2,2021-03-03 09:41:21.727553
0.4775,Food,2021-03-03 09:41:21.749989
*,BB5,2021-03-03 09:41:28.033162
-,END,2021-03-03 09:41:43.071136
+,Session start,2021-03-03 09:41:45.718247
*,BB2,2021-03-03 09:42:01.267364
*,BB3,2021-03-03 09:42:02.280142
*,BB2,2021-03-03 09:42:48.898347
0.875,Run,2021-03-03 09:42:48.928170
*,BB4,2021-03-03 09:43:07.357454
*,BB2,2021-03-03 09:43:47.941978
0.5125,Food,2021-03-03 09:43:47.965406
*,BB3,2021-03-03 09:43:52.738197
*,BB2,2021-03-03 09:44:20.750826
8.7933,Run,2021-03-03 09:44:20.780621
*,BB5,2021-03-03 09:44:24.390493
-,END,2021-03-03 09:44:39.435049
+,Session start,2021-03-03 09:44:42.299804
*,BB2,2021-03-03 09:44:58.723349
*,BB3,2021-03-03 09:44:59.779172
*,BB2,2021-03-03 09:45:07.923093
0.42,Run,2021-03-03 09:45:07.945535
*,BB5,2021-03-03 09:45:11.523002
-,END,2021-03-03 09:45:26.563348
+,Session start,2021-03-03 09:45:28.225248
*,BB2,2021-03-03 09:45:43.080758
*,BB4,2021-03-03 09:46:02.332776
*,BB2,2021-03-03 09:46:13.249166
0.4258,Food,2021-03-03 09:46:13.279611
*,BB3,2021-03-03 09:46:14.694439
*,BB2,2021-03-03 09:47:05.525368
0.86,Run,2021-03-03 09:47:05.551559
*,BB5,2021-03-03 09:47:09.938946
-,END,2021-03-03 09:47:24.978161
+,Session start,2021-03-03 09:47:26.340510
*,BB2,2021-03-03 09:47:40.740801
*,BB3,2021-03-03 09:47:42.832820
*,BB2,2021-03-03 09:48:06.493732
0.4208,Run,2021-03-03 09:48:06.528916
*,BB4,2021-03-03 09:48:18.093539
*,BB2,2021-03-03 09:48:41.715781
0.5592,Food,2021-03-03 09:48:41.744033
*,BB3,2021-03-03 09:48:57.442094
*,BB2,2021-03-03 09:49:07.313460
0.5367,Run,2021-03-03 09:49:07.349765
*,BB4,2021-03-03 09:49:10.160987
*,BB2,2021-03-03 09:50:14.076711
0.4758,Food,2021-03-03 09:50:14.099854
*,BB5,2021-03-03 09:50:15.551359
-,END,2021-03-03 09:50:30.577996
+,Session start,2021-03-03 09:50:33.339769
*,BB2,2021-03-03 09:50:50.061460
*,BB3,2021-03-03 09:50:50.966674
*,BB2,2021-03-03 09:51:37.022444
2.27,Run,2021-03-03 09:51:37.046305
*,BB3,2021-03-03 09:51:46.330883
*,BB2,2021-03-03 09:52:59.106099
0.99,Run,2021-03-03 09:52:59.130342
*,BB4,2021-03-03 09:53:04.355824
*,BB2,2021-03-03 09:53:48.266711
0.52,Food,2021-03-03 09:53:48.290057
*,BB5,2021-03-03 09:53:49.666935
-,END,2021-03-03 09:54:04.696845
+,Session start,2021-03-03 09:54:05.335668
*,BB2,2021-03-03 09:54:21.278922
*,BB3,2021-03-03 09:54:27.966622
*,BB2,2021-03-03 09:54:46.092456
0.3867,Run,2021-03-03 09:54:46.121891
*,BB5,2021-03-03 09:54:49.776596
-,END,2021-03-03 09:55:04.813378
+,Session start,2021-03-03 09:55:24.068276
*,BB2,2021-03-03 09:55:49.166744
*,BB3,2021-03-03 09:55:49.840894
*,BB2,2021-03-03 09:56:03.113433
3.1883,Run,2021-03-03 09:56:03.142682
*,BB4,2021-03-03 09:56:05.953382
*,BB2,2021-03-03 09:58:24.615061
0.5017,Food,2021-03-03 09:58:24.639063
*,BB5,2021-03-03 09:58:25.792895
-,END,2021-03-03 09:58:40.834927
+,Session start,2021-03-03 09:58:46.812585
*,BB2,2021-03-03 09:59:10.613623
*,BB3,2021-03-03 09:59:11.576333
*,BB2,2021-03-03 10:00:00.378793
0.4842,Run,2021-03-03 10:00:00.402461
*,BB5,2021-03-03 10:00:01.504141
-,END,2021-03-03 10:00:16.535909
+,Session start,2021-03-03 10:01:18.533743
*,BB2,2021-03-03 10:01:35.518201
*,BB3,2021-03-03 10:01:36.350270
*,BB2,2021-03-03 10:03:16.471010
6.7625,Run,2021-03-03 10:03:16.493360
*,BB5,2021-03-03 10:03:18.473085
-,END,2021-03-03 10:03:33.504381
+,Session start,2021-03-03 10:03:58.592699
*,BB2,2021-03-03 10:04:15.093304
*,BB3,2021-03-03 10:04:16.684434
*,BB2,2021-03-03 10:04:31.500488
2.6533,Run,2021-03-03 10:04:31.529862
*,BB5,2021-03-03 10:05:19.133661
-,END,2021-03-03 10:05:34.164911
+,Session start,2021-03-03 10:05:48.993859
*,BB2,2021-03-03 10:06:04.124249
*,BB3,2021-03-03 10:06:14.933314
*,BB2,2021-03-03 10:06:20.500733
0.395,Run,2021-03-03 10:06:20.528294
*,BB5,2021-03-03 10:06:30.858791
-,END,2021-03-03 10:06:45.893337
+,Session start,2021-03-03 10:07:13.197703
*,BB2,2021-03-03 10:07:30.599018
*,BB4,2021-03-03 10:07:34.431850
*,BB2,2021-03-03 10:08:01.838752
0.5617,Food,2021-03-03 10:08:01.874547
*,BB5,2021-03-03 10:08:12.056809
-,END,2021-03-03 10:08:27.103358
+,Session start,2021-03-03 10:08:28.865201
*,BB2,2021-03-03 10:08:43.133717
*,BB4,2021-03-03 10:08:44.328731
*,BB2,2021-03-03 10:11:13.843574
0.4458,Food,2021-03-03 10:11:13.870369
*,BB3,2021-03-03 10:11:19.474687
*,BB2,2021-03-03 10:11:26.286040
0.47,Run,2021-03-03 10:11:26.309795
*,BB5,2021-03-03 10:11:37.550870
-,END,2021-03-03 10:11:52.589270
+,Session start,2021-03-03 10:11:54.650969
*,BB2,2021-03-03 10:12:08.692296
*,BB3,2021-03-03 10:13:02.962403
*,BB2,2021-03-03 10:13:39.714997
7.7708,Run,2021-03-03 10:13:39.760279
*,BB5,2021-03-03 10:14:12.601329
-,END,2021-03-03 10:14:27.653328
+,Session start,2021-03-03 10:14:38.561760
*,BB2,2021-03-03 10:14:54.329283
*,BB3,2021-03-03 10:14:55.010324
*,BB2,2021-03-03 10:15:29.374456
0.75,Run,2021-03-03 10:15:29.405965
*,BB4,2021-03-03 10:15:33.933119
*,BB2,2021-03-03 10:16:05.222717
0.4575,Food,2021-03-03 10:16:05.245771
*,BB4,2021-03-03 10:16:17.379556
*,BB2,2021-03-03 10:16:45.020601
0.4783,Food,2021-03-03 10:16:45.053486
*,BB5,2021-03-03 10:16:54.020053
-,END,2021-03-03 10:17:09.058074
+,Session start,2021-03-03 10:17:15.527030
*,BB2,2021-03-03 10:17:29.810108
*,BB3,2021-03-03 10:17:30.411551
*,BB2,2021-03-03 10:21:16.595701
2.295,Run,2021-03-03 10:21:16.618500
*,BB5,2021-03-03 10:22:03.307815
-,END,2021-03-03 10:22:18.351822
+,Session start,2021-03-03 10:22:20.224749
*,BB2,2021-03-03 10:22:38.721970
*,BB4,2021-03-03 10:22:40.904594
*,BB2,2021-03-03 10:24:37.729381
0.4883,Food,2021-03-03 10:24:37.751677
*,BB5,2021-03-03 10:24:55.673996
-,END,2021-03-03 10:25:10.713351
+,Session start,2021-03-03 10:25:32.681790
*,BB2,2021-03-03 10:25:47.975087
*,BB3,2021-03-03 10:25:50.571554
*,BB2,2021-03-03 10:26:12.707253
2.8667,Run,2021-03-03 10:26:12.730148
*,BB5,2021-03-03 10:27:06.828767
-,END,2021-03-03 10:27:21.862607
+,Session start,2021-03-03 10:27:45.530928
*,BB2,2021-03-03 10:28:00.816878
*,BB3,2021-03-03 10:28:01.626787
*,BB2,2021-03-03 10:28:06.745837
0.4375,Run,2021-03-03 10:28:06.783968
*,BB4,2021-03-03 10:28:34.657758
*,BB2,2021-03-03 10:28:42.280520
0.3692,Food,2021-03-03 10:28:42.305881
*,BB5,2021-03-03 10:28:56.055828
-,END,2021-03-03 10:29:11.098687
+,Session start,2021-03-03 10:29:15.873046
*,BB2,2021-03-03 10:29:30.020907
*,BB3,2021-03-03 10:29:32.308460
*,BB2,2021-03-03 10:30:36.738789
12.0125,Run,2021-03-03 10:30:36.767145
*,BB5,2021-03-03 10:30:42.587243
-,END,2021-03-03 10:30:57.623362
+,Session start,2021-03-03 10:31:17.776555
*,BB2,2021-03-03 10:31:32.470688
*,BB3,2021-03-03 10:31:33.522072
*,BB2,2021-03-03 10:32:11.049699
1.3408,Run,2021-03-03 10:32:11.072053
*,BB5,2021-03-03 10:32:19.949575
-,END,2021-03-03 10:32:34.998129
+,Session start,2021-03-03 10:33:07.025352
*,BB2,2021-03-03 10:33:21.043153
*,BB4,2021-03-03 10:33:23.213136
*,BB2,2021-03-03 10:33:44.964613
0.4383,Food,2021-03-03 10:33:44.988767
*,BB5,2021-03-03 10:33:51.270559
-,END,2021-03-03 10:34:06.313358
+,Session start,2021-03-03 10:34:11.496288
*,BB2,2021-03-03 10:34:28.733396
*,BB4,2021-03-03 10:34:31.223438
*,BB2,2021-03-03 10:35:19.860562
0.4833,Food,2021-03-03 10:35:19.895779
*,BB3,2021-03-03 10:35:37.223019
*,BB2,2021-03-03 10:36:26.335550
0.6075,Run,2021-03-03 10:36:26.364480
*,BB4,2021-03-03 10:36:34.096274
*,BB2,2021-03-03 10:36:38.366977
0.3642,Food,2021-03-03 10:36:38.395274
*,BB5,2021-03-03 10:36:54.931856
-,END,2021-03-03 10:37:09.964075
+,Session start,2021-03-03 10:37:12.121046
*,BB2,2021-03-03 10:37:27.717925
*,BB4,2021-03-03 10:37:35.878981
*,BB2,2021-03-03 10:38:26.225803
0.5708,Food,2021-03-03 10:38:26.248548
*,BB3,2021-03-03 10:39:19.445941
*,BB2,2021-03-03 10:40:01.104481
1.675,Run,2021-03-03 10:40:01.134588
*,BB5,2021-03-03 10:40:29.136755
-,END,2021-03-03 10:40:44.179887
+,Session start,2021-03-03 10:40:50.444216
*,BB2,2021-03-03 10:41:04.599858
*,BB3,2021-03-03 10:41:05.719310
*,BB2,2021-03-03 10:41:16.089194
0.4425,Run,2021-03-03 10:41:16.117548
*,BB4,2021-03-03 10:41:34.641331
*,BB2,2021-03-03 10:41:39.730102
0.35,Food,2021-03-03 10:41:39.764851
*,BB5,2021-03-03 10:41:51.813265
-,END,2021-03-03 10:42:06.843351
+,Session start,2021-03-03 10:42:08.709274
*,BB2,2021-03-03 10:42:23.747518
*,BB4,2021-03-03 10:42:24.926640
*,BB2,2021-03-03 10:43:03.625800
0.505,Food,2021-03-03 10:43:03.658432
*,BB5,2021-03-03 10:43:10.729756
-,END,2021-03-03 10:43:25.768016
+,Session start,2021-03-03 10:43:27.529
*,BB2,2021-03-03 10:43:41.346977
*,BB3,2021-03-03 10:43:43.893958
*,BB2,2021-03-03 10:45:46.081167
11.355,Run,2021-03-03 10:45:46.116127
*,BB4,2021-03-03 10:45:47.853731
*,BB2,2021-03-03 10:46:44.937793
0.4375,Food,2021-03-03 10:46:44.972981
*,BB5,2021-03-03 10:46:57.665099
-,END,2021-03-03 10:47:12.694878
+,Session start,2021-03-03 10:47:16.350657
*,BB2,2021-03-03 10:47:31.944204
*,BB3,2021-03-03 10:47:57.181890
*,BB2,2021-03-03 10:49:05.391407
11.4083,Run,2021-03-03 10:49:05.422601
*,BB4,2021-03-03 10:49:24.504365
*,BB2,2021-03-03 10:49:33.411503
0.5117,Food,2021-03-03 10:49:33.442326
*,BB5,2021-03-03 10:49:42.498240
-,END,2021-03-03 10:49:57.536717
+,Session start,2021-03-03 10:50:36.903577
*,BB2,2021-03-03 10:50:51.385287
*,BB4,2021-03-03 10:50:52.557997
*,BB2,2021-03-03 10:52:01.914042
0.4275,Food,2021-03-03 10:52:01.937382
*,BB5,2021-03-03 10:52:14.378447
-,END,2021-03-03 10:52:29.413342
+,Session start,2021-03-03 10:52:47.857580
*,BB2,2021-03-03 10:54:36.368701
*,BB4,2021-03-03 10:54:37.557981
*,BB2,2021-03-03 10:54:40.414535
0.4208,Food,2021-03-03 10:54:40.438370
*,BB5,2021-03-03 10:55:50.068983
-,END,2021-03-03 10:56:05.100059
+,Session start,2021-03-03 10:56:28.791744
*,BB2,2021-03-03 10:56:44.696436
*,BB3,2021-03-03 10:56:46.140679
*,BB2,2021-03-03 10:56:51.711428
0.4283,Run,2021-03-03 10:56:51.745272
*,BB3,2021-03-03 10:56:54.328211
*,BB2,2021-03-03 10:57:59.549252
0.4825,Run,2021-03-03 10:57:59.588425
*,BB4,2021-03-03 10:58:02.574795
*,BB2,2021-03-03 10:58:05.770255
0.4817,Food,2021-03-03 10:58:05.794122
*,BB5,2021-03-03 10:59:23.975627
-,END,2021-03-03 10:59:39.012527
+,Session start,2021-03-03 10:59:45.597491
*,BB2,2021-03-03 10:59:59.788733
*,BB3,2021-03-03 11:00:00.635564
*,BB2,2021-03-03 11:00:03.835393
0.3842,Run,2021-03-03 11:00:03.862740
*,BB4,2021-03-03 11:00:06.365222
*,BB2,2021-03-03 11:02:13.330501
0.5433,Food,2021-03-03 11:02:13.361257
*,BB5,2021-03-03 11:03:21.773481
-,END,2021-03-03 11:03:36.821410
+,Session start,2021-03-03 11:03:56.386539
*,BB2,2021-03-03 11:04:11.279706
*,BB4,2021-03-03 11:04:15.692846
*,BB2,2021-03-03 11:04:39.470232
0.5292,Food,2021-03-03 11:04:39.503793
*,BB3,2021-03-03 11:04:42.070152
*,BB2,2021-03-03 11:05:05.541579
0.5333,Run,2021-03-03 11:05:05.571640
*,BB4,2021-03-03 11:05:21.094756
*,BB2,2021-03-03 11:05:55.204283
0.565,Food,2021-03-03 11:05:55.231840
*,BB3,2021-03-03 11:06:39.081735
*,BB2,2021-03-03 11:06:56.296239
11.3333,Run,2021-03-03 11:06:56.325633
*,BB3,2021-03-03 11:07:03.186837
*,BB2,2021-03-03 11:07:28.994214
14.3183,Run,2021-03-03 11:07:29.032608
*,BB3,2021-03-03 11:08:19.716118
*,BB2,2021-03-03 11:08:22.282631
0.3992,Run,2021-03-03 11:08:22.312289
*,BB5,2021-03-03 11:09:38.883117
-,END,2021-03-03 11:09:53.933439
+,Session start,2021-03-03 11:09:55.300736
*,BB2,2021-03-03 11:10:18.235951
*,BB3,2021-03-03 11:10:35.397264
*,BB2,2021-03-03 11:10:42.974433
0.4142,Run,2021-03-03 11:10:43.002719
*,BB4,2021-03-03 11:10:46.300802
*,BB2,2021-03-03 11:11:01.815429
0.3758,Food,2021-03-03 11:11:01.850271
*,BB3,2021-03-03 11:11:06.928244
*,BB2,2021-03-03 11:11:48.088898
15.7575,Run,2021-03-03 11:11:48.119890
*,BB3,2021-03-03 11:11:49.465345
*,BB2,2021-03-03 11:12:00.792243
0.545,Run,2021-03-03 11:12:00.830935
*,BB3,2021-03-03 11:12:01.735875
*,BB2,2021-03-03 11:12:08.490204
0.4033,Run,2021-03-03 11:12:08.513116
*,BB3,2021-03-03 11:12:21.419436
*,BB2,2021-03-03 11:13:24.400698
0.4575,Run,2021-03-03 11:13:24.425606
*,BB5,2021-03-03 11:13:56.620640
-,END,2021-03-03 11:14:11.662425
+,Session start,2021-03-03 11:14:13.323280
*,BB2,2021-03-03 11:14:30.779457
*,BB3,2021-03-03 11:14:31.862702
*,BB2,2021-03-03 11:15:36.678863
0.4875,Run,2021-03-03 11:15:36.704132
*,BB5,2021-03-03 11:15:53.903613
-,END,2021-03-03 11:16:08.938485
+,Session start,2021-03-03 11:16:26.582260
*,BB2,2021-03-03 11:16:41.086671
*,BB4,2021-03-03 11:16:42.211569
*,BB2,2021-03-03 11:19:26.155241
0.4158,Food,2021-03-03 11:19:26.181889
*,BB5,2021-03-03 11:19:55.958234
-,END,2021-03-03 11:20:10.993386
+,Session start,2021-03-03 11:20:16.265141
*,BB2,2021-03-03 11:20:30.650230
*,BB4,2021-03-03 11:20:31.711694
*,BB2,2021-03-03 11:22:41.139409
0.4725,Food,2021-03-03 11:22:41.162007
*,BB5,2021-03-03 11:36:30.677216
-,END,2021-03-03 11:36:45.715988
+,Session start,2021-03-03 11:36:53.599693
*,BB2,2021-03-03 11:37:09.244934
*,BB5,2021-03-03 11:37:16.120772
-,END,2021-03-03 11:37:31.163353
+,Session start,2021-03-03 11:37:33.719352
*,BB2,2021-03-03 11:37:48.216535
*,BB4,2021-03-03 11:37:56.307703
*,BB2,2021-03-03 11:38:06.543751
0.3842,Food,2021-03-03 11:38:06.568439
+,Session start,2021-03-03 12:30:18.738056
*,BB2,2021-03-03 12:30:33.214827
*,BB3,2021-03-03 12:30:34.404751
*,BB2,2021-03-03 12:32:12.928108
0.615,Run_log,2021-03-03 12:32:12.954120
*,BB4,2021-03-03 12:32:27.729450
*,BB2,2021-03-03 12:33:11.012592
0.64,Food_log,2021-03-03 12:33:11.038545
*,BB5,2021-03-03 12:33:45.409707
-,END,2021-03-03 12:34:00.446214
+,Session start,2021-03-03 12:34:09.341966
*,BB2,2021-03-03 12:34:25.037880
*,BB3,2021-03-03 12:34:26.155218
*,BB2,2021-03-03 12:34:46.412255
0.84,Run_log,2021-03-03 12:34:46.440562
*,BB4,2021-03-03 12:35:02.120978
*,BB2,2021-03-03 12:37:34.421229
0.62,Food_log,2021-03-03 12:37:34.456321
*,BB5,2021-03-03 12:37:55.820180
-,END,2021-03-03 12:38:10.863977
+,Session start,2021-03-03 12:38:26.404205
*,BB2,2021-03-03 12:38:42.922240
*,BB3,2021-03-03 12:38:50.780771
*,BB2,2021-03-03 12:38:57.905014
0.6308,Run_log,2021-03-03 12:38:57.934106
*,BB3,2021-03-03 12:39:18.758349
+,Session start,2021-03-03 15:14:18.641875
*,BB2,2021-03-03 15:15:09.731630
*,BB3,2021-03-03 15:15:26.730745
0.3258,Run_log,2021-03-03 15:15:41.276913
*,BB3,2021-03-03 15:15:45.853084
0.0517,Run_log,2021-03-03 15:15:59.469294
*,BB4,2021-03-03 15:16:07.360636
0.07,Food_log,2021-03-03 15:19:47.437754
*,BB3,2021-03-03 15:20:11.194280
0.2325,Run_log,2021-03-03 15:20:30.460362
*,BB3,2021-03-03 15:21:47.074898
0.615,Run_log,2021-03-03 15:22:44.788801
*,BB5,2021-03-03 15:23:05.497235
-,END,2021-03-03 15:23:20.540287
+,Session start,2021-03-03 15:23:47.548225
*,BB2,2021-03-03 15:25:06.716358
*,BB4,2021-03-03 15:25:33.321860
0.3817,Food_log,2021-03-03 15:30:02.746744
*,BB3,2021-03-03 15:30:10.652940
0.0942,Run_log,2021-03-03 15:31:05.676552
*,BB3,2021-03-03 15:31:16.489013
0.0675,Run_log,2021-03-03 15:34:46.033798
*,BB4,2021-03-03 15:34:51.372907
0.0992,Food_log,2021-03-03 15:38:14.361598
*,BB3,2021-03-03 15:38:27.445475
1.8767,Run_log,2021-03-03 15:38:42.213061
*,BB4,2021-03-03 15:38:54.144402
0.5858,Food_log,2021-03-03 15:42:13.073391
*,BB5,2021-03-03 15:42:29.920449
-,END,2021-03-03 15:42:44.950621
+,Session start,2021-03-03 15:43:19.589296
*,BB2,2021-03-03 15:43:44.063964
*,BB4,2021-03-03 15:43:49.422064
0.1117,Food_log,2021-03-03 15:46:38.339940
*,BB4,2021-03-03 15:46:55.097597
0.065,Food_log,2021-03-03 15:49:11.724609
*,BB3,2021-03-03 15:49:15.891189
0.0692,Run_log,2021-03-03 15:51:12.263035
*,BB4,2021-03-03 15:51:19.993061
0.3767,Food_log,2021-03-03 15:53:32.501980
*,BB5,2021-03-03 15:53:48.190737
-,END,2021-03-03 15:54:03.223376
+,Session start,2021-03-03 15:54:13.524020
*,BB2,2021-03-03 15:55:48.758478
*,BB4,2021-03-03 15:56:11.328400
0.6408,Food_log,2021-03-03 15:57:28.064113
*,BB3,2021-03-03 15:57:39.251950
0.195,Run_log,2021-03-03 15:57:46.104424
*,BB4,2021-03-03 15:57:55.760211
0.0775,Food_log,2021-03-03 16:00:05.497984
*,BB3,2021-03-03 16:00:20.240375
1.7075,Run_log,2021-03-03 16:01:13.532150
*,BB4,2021-03-03 16:01:36.542402
0.375,Food_log,2021-03-03 16:02:31.214984
*,BB4,2021-03-03 16:03:37.355666
0.6458,Food_log,2021-03-03 16:04:49.496549
*,BB4,2021-03-03 16:06:51.950043
0.27,Food_log,2021-03-03 16:09:29.944894
*,BB3,2021-03-03 16:09:35.849291
0.0367,Run_log,2021-03-03 16:09:49.674143
*,BB3,2021-03-03 16:09:53.418868
0.0308,Run_log,2021-03-03 16:09:58.450762
*,BB4,2021-03-03 16:10:25.809870
0.0708,Food_log,2021-03-03 16:10:48.904462
*,BB3,2021-03-03 16:11:52.328447
0.93,Run_log,2021-03-03 16:12:55.184717
*,BB5,2021-03-03 16:13:28.890541
-,END,2021-03-03 16:13:43.933470
+,Session start,2021-03-03 16:14:17.972666
*,BB2,2021-03-03 16:16:41.361577
*,BB5,2021-03-03 16:17:07.957148
-,END,2021-03-03 16:17:22.984252
+,Session start,2021-03-03 16:17:43.754487
*,BB2,2021-03-03 16:19:43.227699
*,BB3,2021-03-03 16:19:53.275619
