Rotation,Type,Date_Time
0.1892,Run_log,2021-03-03 16:20:10.094216
*,BB5,2021-03-03 16:20:20.072343
-,END,2021-03-03 16:20:35.098343
+,Session start,2021-03-03 16:20:42.089654
*,BB2,2021-03-03 16:23:01.655069
*,BB5,2021-03-03 16:23:14.132949
-,END,2021-03-03 16:23:29.176953
+,Session start,2021-03-03 16:24:23.631546
*,BB2,2021-03-03 16:24:37.310646
*,BB4,2021-03-03 16:25:32.184943
0.0842,Food_log,2021-03-03 16:27:00.282789
*,BB5,2021-03-03 16:27:18.516731
-,END,2021-03-03 16:27:33.553352
+,Session start,2021-03-03 16:27:35.814774
*,BB2,2021-03-03 16:28:29.139005
*,BB5,2021-03-03 16:28:57.870954
-,END,2021-03-03 16:29:12.913341
+,Session start,2021-03-03 16:31:50.544469
*,BB2,2021-03-03 16:33:06.685216
*,BB5,2021-03-03 16:37:26.094531
-,END,2021-03-03 16:37:41.130415
+,Session start,2021-03-03 16:37:50.837794
*,BB2,2021-03-03 16:38:09.589237
*,BB5,2021-03-03 16:38:20.075549
-,END,2021-03-03 16:38:35.114808
+,Session start,2021-03-03 16:39:05.120276
*,BB2,2021-03-03 16:39:18.323117
*,BB3,2021-03-03 16:39:21.353836
0.2558,Run_log,2021-03-03 16:39:22.712520
*,BB4,2021-03-03 16:39:58.564158
0.0733,Food_log,2021-03-03 16:44:45.146345
*,BB3,2021-03-03 16:45:51.954981
0.1092,Run_log,2021-03-03 16:45:58.776209
*,BB4,2021-03-03 16:46:47.833084
0.6517,Food_log,2021-03-03 16:48:41.196767
*,BB5,2021-03-03 16:48:55.103711
-,END,2021-03-03 16:49:10.143432
+,Session start,2021-03-03 16:49:24.476386
*,BB2,2021-03-03 16:49:39.261792
*,BB3,2021-03-03 16:49:42.152322
0.0858,Run_log,2021-03-03 16:51:28.844748
*,BB5,2021-03-03 17:00:15.121150
-,END,2021-03-03 17:00:30.153413
+,Session start,2021-03-03 17:00:37.340671
*,BB2,2021-03-03 17:03:52.040320
*,BB5,2021-03-03 17:04:12.610650
-,END,2021-03-03 17:04:27.650879
+,Session start,2021-03-03 17:04:30.211065
*,BB2,2021-03-03 17:07:09.237109
*,BB4,2021-03-03 17:07:14.046368
0.4183,Food_log,2021-03-03 17:07:17.787536
*,BB3,2021-03-03 17:07:22.262015
0.1525,Run_log,2021-03-03 17:07:32.483379
*,BB4,2021-03-03 17:07:41.123172
0.5092,Food_log,2021-03-03 17:07:45.063582
*,BB3,2021-03-03 17:07:47.226772
0.5342,Run_log,2021-03-03 17:08:02.277662
*,BB3,2021-03-03 17:08:05.156697
0.5425,Run_log,2021-03-03 17:08:08.409906
*,BB4,2021-03-03 17:08:10.024928
0.57,Food_log,2021-03-03 17:08:12.072934
*,BB4,2021-03-03 17:08:13.009716
0.6517,Food_log,2021-03-03 17:08:16.689680
*,BB3,2021-03-03 17:08:18.894736
0.5067,Run_log,2021-03-03 17:08:25.688365
*,BB4,2021-03-03 17:08:31.805731
0.1075,Food_log,2021-03-03 17:08:32.569329
*,BB4,2021-03-03 17:08:33.785008
0.495,Food_log,2021-03-03 17:08:36.803649
*,BB5,2021-03-03 17:08:40.467990
-,END,2021-03-03 17:08:55.514742
+,Session start,2021-03-04 17:13:35.430114
*,BB2,2021-03-04 17:15:33.022339
*,BB4,2021-03-04 17:15:37.376703
0.7425,Food_log,2021-03-04 17:16:09.258275
*,BB3,2021-03-04 17:16:22.901247
0.6792,Run_log,2021-03-04 17:17:53.229504
*,BB4,2021-03-04 17:17:58.994342
0.7175,Food_log,2021-03-04 17:19:13.725081
*,BB3,2021-03-04 17:19:19.843996
0.7167,Run_log,2021-03-04 17:20:18.873393
*,BB3,2021-03-04 17:20:29.412752
1.0017,Run_log,2021-03-04 17:20:53.026071
*,BB4,2021-03-04 17:23:41.034359
0.0,Food_log,2021-03-04 17:23:41.059468
*,BB5,2021-03-04 17:23:41.094002
-,END,2021-03-04 17:23:56.138483
+,Session start,2021-03-04 17:24:33.100495
*,BB2,2021-03-04 17:24:49.934010
*,BB4,2021-03-04 17:24:52.383571
0.7492,Food_log,2021-03-04 17:25:39.004813
*,BB3,2021-03-04 17:25:41.389655
0.5692,Run_log,2021-03-04 17:26:06.750675
*,BB4,2021-03-04 17:26:09.800011
0.7092,Food_log,2021-03-04 17:27:24.653976
*,BB3,2021-03-04 17:27:31.002647
0.9008,Run_log,2021-03-04 17:29:20.711355
*,BB3,2021-03-04 17:29:25.696712
1.025,Run_log,2021-03-04 17:31:03.433216
*,BB4,2021-03-04 17:31:11.343610
0.5375,Food_log,2021-03-04 17:31:53.353037
*,BB3,2021-03-04 17:32:01.307051
0.615,Run_log,2021-03-04 17:32:04.560080
*,BB3,2021-03-04 17:32:08.453491
0.5892,Run_log,2021-03-04 17:32:37.527568
*,BB3,2021-03-04 17:32:59.485755
0.9692,Run_log,2021-03-04 17:34:12.518299
*,BB4,2021-03-04 17:34:23.281567
0.5708,Food_log,2021-03-04 17:35:28.744003
*,BB3,2021-03-04 17:35:37.655565
0.6633,Run_log,2021-03-04 17:35:58.732024
*,BB3,2021-03-04 17:36:10.823463
1.28,Run_log,2021-03-04 17:37:05.788125
*,BB4,2021-03-04 17:37:47.533963
0.6342,Food_log,2021-03-04 17:38:32.426031
*,BB3,2021-03-04 17:39:00.032573
0.98,Run_log,2021-03-04 17:41:21.047188
*,BB3,2021-03-04 17:41:36.788572
0.615,Run_log,2021-03-04 17:44:00.137092
*,BB4,2021-03-04 17:44:21.884843
0.5125,Food_log,2021-03-04 17:44:33.200765
*,BB3,2021-03-04 17:44:35.455913
1.8108,Run_log,2021-03-04 17:45:09.980568
*,BB4,2021-03-04 17:45:13.876261
0.6567,Food_log,2021-03-04 17:46:01.211430
*,BB3,2021-03-04 17:46:02.777019
0.9108,Run_log,2021-03-04 17:48:44.249300
*,BB4,2021-03-04 17:49:31.739474
0.5558,Food_log,2021-03-04 17:49:43.159181
*,BB3,2021-03-04 17:50:05.418116
1.3358,Run_log,2021-03-04 17:50:37.751184
*,BB5,2021-03-04 17:51:00.853888
-,END,2021-03-04 17:51:15.892788
+,Session start,2021-03-04 17:54:12.809327
*,BB2,2021-03-04 17:54:39.309537
*,BB4,2021-03-04 17:54:40.787800
