Rotation,Type,Date_Time
*,BB2,2021-03-01 12:59:06.526457
0.5167,Food,2021-03-01 12:59:06.553832
*,BB5,2021-03-01 12:59:31.185809
*,BB2,2021-03-01 12:59:37.678427
0.3475,Run,2021-03-01 12:59:37.705301
*,BB5,2021-03-01 13:00:29.767323
-,END,2021-03-01 13:00:44.796418
+,Session start,2021-03-01 13:00:47.546837
*,BB2,2021-03-01 13:01:05.219163
*,BB5,2021-03-01 13:01:07.039150
*,BB2,2021-03-01 13:01:28.554168
0.4725,Run,2021-03-01 13:01:28.584301
*,BB5,2021-03-01 13:02:07.331661
*,BB2,2021-03-01 13:03:13.460149
9.9842,Run,2021-03-01 13:03:13.483760
*,BB5,2021-03-01 13:03:26.659980
-,END,2021-03-01 13:03:41.703120
+,Session start,2021-03-01 13:03:43.667005
*,BB2,2021-03-01 13:03:59.250484
*,BB5,2021-03-01 13:04:00.741438
*,BB2,2021-03-01 13:04:22.927647
0.4917,Run,2021-03-01 13:04:22.952580
*,BB5,2021-03-01 13:04:42.104127
*,BB2,2021-03-01 13:04:48.246496
0.385,Run,2021-03-01 13:04:48.270189
*,BB5,2021-03-01 13:05:07.067027
-,END,2021-03-01 13:05:22.098719
+,Session start,2021-03-01 13:05:40.158170
*,BB2,2021-03-01 13:05:54.983466
*,BB5,2021-03-01 13:05:58.537296
*,BB2,2021-03-01 13:07:28.307171
1.3208,Run,2021-03-01 13:07:28.329444
*,BB5,2021-03-01 13:07:39.799221
-,END,2021-03-01 13:07:54.836734
+,Session start,2021-03-01 13:08:05.043105
*,BB2,2021-03-01 13:08:23.799856
*,BB5,2021-03-01 13:08:24.883344
*,BB2,2021-03-01 13:08:32.736217
0.3467,Run,2021-03-01 13:08:32.764107
*,BB5,2021-03-01 13:08:38.062663
*,BB2,2021-03-01 13:09:11.097114
0.4758,Run,2021-03-01 13:09:11.121755
*,BB5,2021-03-01 13:09:43.446034
*,BB2,2021-03-01 13:09:55.934194
0.4617,Run,2021-03-01 13:09:55.956942
*,BB5,2021-03-01 13:11:16.206494
-,END,2021-03-01 13:11:31.245433
+,Session start,2021-03-01 13:11:38.635821
*,BB2,2021-03-01 13:12:20.543279
*,BB5,2021-03-01 13:12:22.350524
*,BB2,2021-03-01 13:12:27.743763
0.3758,Run,2021-03-01 13:12:27.766022
*,BB5,2021-03-01 13:12:49.291722
-,END,2021-03-01 13:13:04.316824
+,Session start,2021-03-01 13:13:04.769190
*,BB2,2021-03-01 13:13:22.793017
*,BB5,2021-03-01 13:13:27.843972
*,BB2,2021-03-01 13:14:32.297068
7.6775,Run,2021-03-01 13:14:32.325635
*,BB5,2021-03-01 13:14:56.912973
*,BB2,2021-03-01 13:17:55.485897
0.6208,Run,2021-03-01 13:17:55.515967
*,BB5,2021-03-01 13:18:06.373465
-,END,2021-03-01 13:18:21.404305
+,Session start,2021-03-01 13:18:27.389321
*,BB2,2021-03-01 13:18:45.085842
*,BB4,2021-03-01 13:18:46.857723
*,BB2,2021-03-01 13:21:28.278116
0.47,Food,2021-03-01 13:21:28.311516
*,BB5,2021-03-01 13:21:39.068352
-,END,2021-03-01 13:21:54.107835
+,Session start,2021-03-01 13:22:09.560714
*,BB2,2021-03-01 13:22:40.008125
*,BB5,2021-03-01 13:22:42.514973
*,BB2,2021-03-01 13:23:25.371100
9.0883,Run,2021-03-01 13:23:25.395662
*,BB5,2021-03-01 13:23:35.792307
*,BB2,2021-03-01 13:24:01.203441
0.6667,Run,2021-03-01 13:24:01.225737
*,BB5,2021-03-01 13:24:14.587982
-,END,2021-03-01 13:24:29.620827
+,Session start,2021-03-01 13:24:48.070541
*,BB2,2021-03-01 13:25:02.393908
*,BB5,2021-03-01 13:25:03.227309
*,BB2,2021-03-01 13:25:41.639953
0.535,Run,2021-03-01 13:25:41.665983
*,BB5,2021-03-01 13:25:47.146032
+,Session start,2021-03-02 11:55:36.458515
*,BB2,2021-03-02 11:55:56.960174
*,BB5,2021-03-02 11:56:00.739678
*,BB2,2021-03-02 11:58:09.160374
0.595,Run,2021-03-02 11:58:09.187339
*,BB4,2021-03-02 11:58:16.520209
*,BB2,2021-03-02 11:58:47.805872
0.5867,Food,2021-03-02 11:58:47.835463
*,EXIT,2021-03-02 11:59:18.876544
-,END,2021-03-02 11:59:33.906106
+,Session start,2021-03-02 11:59:42.108292
*,BB2,2021-03-02 11:59:58.078787
*,BB5,2021-03-02 12:00:07.385048
*,BB2,2021-03-02 12:00:39.194425
0.4708,Run,2021-03-02 12:00:39.216301
*,BB5,2021-03-02 12:00:55.130673
*,BB2,2021-03-02 12:06:52.452302
1.0825,Run,2021-03-02 12:06:52.473645
*,BB5,2021-03-02 12:07:12.140915
*,BB2,2021-03-02 12:07:18.024101
0.4158,Run,2021-03-02 12:07:18.053369
*,EXIT,2021-03-02 12:07:46.775246
-,END,2021-03-02 12:08:01.823517
+,Session start,2021-03-02 12:08:06.712299
*,BB2,2021-03-02 12:08:37.940718
*,BB5,2021-03-02 12:08:39.559086
*,BB2,2021-03-02 12:09:03.208621
0.6042,Run,2021-03-02 12:09:03.237909
*,BB5,2021-03-02 12:09:39.147836
*,BB2,2021-03-02 12:10:37.814737
0.6458,Run,2021-03-02 12:10:37.839357
*,EXIT,2021-03-02 12:11:12.884693
-,END,2021-03-02 12:11:27.931184
+,Session start,2021-03-02 12:11:30.390935
*,BB2,2021-03-02 12:11:48.217097
*,BB4,2021-03-02 12:12:07.446608
*,BB2,2021-03-02 12:16:46.103209
0.52,Food,2021-03-02 12:16:46.129807
*,EXIT,2021-03-02 12:16:56.089049
-,END,2021-03-02 12:17:11.126218
+,Session start,2021-03-02 12:17:13.594115
*,BB2,2021-03-02 12:17:30.007337
*,BB5,2021-03-02 12:17:31.190710
*,BB2,2021-03-02 12:17:47.754976
0.4975,Run,2021-03-02 12:17:47.777167
*,BB5,2021-03-02 12:18:25.500010
*,BB2,2021-03-02 12:18:42.641238
0.4,Run,2021-03-02 12:18:42.663336
*,BB5,2021-03-02 12:18:51.895461
*,BB2,2021-03-02 12:22:31.009573
4.9667,Run,2021-03-02 12:22:31.034496
*,EXIT,2021-03-02 12:23:08.076056
-,END,2021-03-02 12:23:23.112322
+,Session start,2021-03-02 12:24:00.989352
*,BB2,2021-03-02 12:24:17.586692
*,BB5,2021-03-02 12:24:21.325338
*,BB2,2021-03-02 12:24:41.856051
2.8417,Run,2021-03-02 12:24:41.883655
*,BB5,2021-03-02 12:25:00.066220
*,BB2,2021-03-02 12:25:04.582806
0.4933,Run,2021-03-02 12:25:04.604413
*,EXIT,2021-03-02 12:25:28.289104
-,END,2021-03-02 12:25:43.333652
+,Session start,2021-03-02 12:26:25.819408
*,BB2,2021-03-02 12:26:41.042306
*,EXIT,2021-03-02 12:27:28.257228
-,END,2021-03-02 12:27:43.287357
+,Session start,2021-03-02 12:28:39.054627
*,BB2,2021-03-02 12:28:53.750416
*,BB4,2021-03-02 12:29:01.366433
*,BB2,2021-03-02 12:29:59.888474
0.4917,Food,2021-03-02 12:29:59.910974
*,EXIT,2021-03-02 12:30:09.967928
-,END,2021-03-02 12:30:25.001842
+,Session start,2021-03-02 12:32:06.619579
*,BB2,2021-03-02 12:32:21.012551
*,BB5,2021-03-02 12:32:21.918629
*,BB2,2021-03-02 12:33:55.563755
0.9533,Run,2021-03-02 12:33:55.595917
*,EXIT,2021-03-02 12:34:11.538271
-,END,2021-03-02 12:34:26.576738
+,Session start,2021-03-02 12:34:36.486841
*,BB2,2021-03-02 12:34:51.417335
*,BB5,2021-03-02 12:34:52.644870
*,BB2,2021-03-02 12:35:06.214135
0.4142,Run,2021-03-02 12:35:06.241885
*,EXIT,2021-03-02 12:35:55.894340
-,END,2021-03-02 12:36:10.934164
+,Session start,2021-03-02 12:36:21.749079
*,BB2,2021-03-02 12:36:37.693511
*,BB5,2021-03-02 12:36:39.498138
*,BB2,2021-03-02 12:40:14.152782
7.1533,Run,2021-03-02 12:40:14.186857
*,BB5,2021-03-02 12:42:19.299903
*,BB2,2021-03-02 12:42:39.244628
0.4758,Run,2021-03-02 12:42:39.279447
*,BB5,2021-03-02 12:42:41.522590
*,BB2,2021-03-02 12:42:49.886465
