Rotation,Type,Date_Time
+,Session start,2021-03-03 12:22:36.434650
*,BB2,2021-03-03 12:22:52.870426
*,BB4,2021-03-03 12:22:52.970537
*,BB2,2021-03-03 12:22:53.739522
0.0,Food_log,2021-03-03 12:22:53.769538
*,BB4,2021-03-03 12:22:54.328266
*,BB2,2021-03-03 12:22:54.926657
0.0,Food_log,2021-03-03 12:22:54.956348
*,BB4,2021-03-03 12:22:55.516515
*,BB2,2021-03-03 12:22:59.824019
0.5517,Food_log,2021-03-03 12:22:59.846433
*,BB4,2021-03-03 12:23:00.416231
*,BB5,2021-03-03 12:23:02.938941
-,END,2021-03-03 12:23:17.977467
+,Session start,2021-03-03 12:23:43.567135
*,BB2,2021-03-03 12:24:05.494921
0.6817,Food_log,2021-03-03 12:24:05.524114
*,BB4,2021-03-03 12:24:06.184121
*,BB2,2021-03-03 12:24:08.175622
0.1058,Food_log,2021-03-03 12:24:08.208403
*,BB4,2021-03-03 12:24:08.764364
*,BB2,2021-03-03 12:24:17.202625
0.0,Food_log,2021-03-03 12:24:17.226926
*,BB4,2021-03-03 12:24:17.791284
*,BB2,2021-03-03 12:24:18.389709
0.0,Food_log,2021-03-03 12:24:18.417111
*,BB4,2021-03-03 12:24:18.980675
*,BB2,2021-03-03 12:24:19.578986
0.0,Food_log,2021-03-03 12:24:19.601890
*,BB4,2021-03-03 12:24:20.167781
*,BB2,2021-03-03 12:24:20.766194
0.1092,Food_log,2021-03-03 12:24:20.790670
*,BB4,2021-03-03 12:24:21.359430
*,BB2,2021-03-03 12:24:21.957729
0.0792,Food_log,2021-03-03 12:24:21.983310
*,BB4,2021-03-03 12:24:22.546462
