Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2021-03-03 09:09:07.608081,+,,Session start,Left,Right
2021-03-03 09:09:23.792576,*,,BB2,Left,Right
2021-03-03 09:09:31.898926,*,,BB3,Left,Right
2021-03-03 09:09:44.766743,*,,BB2,Left,Right
2021-03-03 09:09:44.790421,0.5475,,Run,Left,Right
2021-03-03 09:09:54.362558,*,,BB3,Left,Right
2021-03-03 09:10:06.040306,*,,BB2,Left,Right
2021-03-03 09:10:06.063625,0.6325,,Run,Left,Right
2021-03-03 09:10:27.447465,*,,BB3,Left,Right
2021-03-03 09:10:40.683856,*,,BB2,Left,Right
2021-03-03 09:10:40.718034,0.55,,Run,Left,Right
2021-03-03 09:10:52.277717,*,,BB3,Left,Right
2021-03-03 09:11:13.652326,*,,BB2,Left,Right
2021-03-03 09:11:13.675978,0.6667,,Run,Left,Right
2021-03-03 09:11:21.306500,*,,BB5,Left,Right
2021-03-03 09:11:36.347599,-,,END,Left,Right
2021-03-03 09:11:38.813055,+,,Session start,Left,Right
2021-03-03 09:11:57.638399,*,,BB2,Left,Right
2021-03-03 09:12:11.036046,*,,BB3,Left,Right
2021-03-03 09:12:22.082795,*,,BB2,Left,Right
2021-03-03 09:12:22.118262,0.4792,,Run,Left,Right
2021-03-03 09:12:28.702682,*,,BB5,Left,Right
2021-03-03 09:12:43.751018,-,,END,Left,Right
2021-03-03 09:12:53.057475,+,,Session start,Left,Right
2021-03-03 09:13:09.034176,*,,BB2,Left,Right
2021-03-03 09:13:33.491708,*,,BB5,Left,Right
2021-03-03 09:13:48.526543,-,,END,Left,Right
2021-03-03 09:13:51.798767,+,,Session start,Left,Right
2021-03-03 09:14:07.479110,*,,BB2,Left,Right
2021-03-03 09:14:12.827195,*,,BB3,Left,Right
2021-03-03 09:14:56.304569,*,,BB2,Left,Right
2021-03-03 09:14:56.336554,0.6508,,Run,Left,Right
2021-03-03 09:15:07.217320,*,,BB5,Left,Right
2021-03-03 09:15:22.253401,-,,END,Left,Right
2021-03-03 09:15:24.216046,+,,Session start,Left,Right
2021-03-03 09:15:45.688944,*,,BB2,Left,Right
2021-03-03 09:15:49.828019,*,,BB3,Left,Right
2021-03-03 09:15:59.503188,*,,BB2,Left,Right
2021-03-03 09:15:59.526439,4.5942,,Run,Left,Right
2021-03-03 09:16:21.663436,*,,BB5,Left,Right
2021-03-03 09:16:36.693325,-,,END,Left,Right
2021-03-03 09:16:39.456633,+,,Session start,Left,Right
2021-03-03 09:16:55.514338,*,,BB2,Left,Right
2021-03-03 09:17:05.004900,*,,BB3,Left,Right
2021-03-03 09:17:45.987478,*,,BB2,Left,Right
2021-03-03 09:17:46.015312,0.495,,Run,Left,Right
2021-03-03 09:18:22.057642,*,,BB5,Left,Right
2021-03-03 09:18:37.094070,-,,END,Left,Right
2021-03-03 09:18:38.753522,+,,Session start,Left,Right
2021-03-03 09:19:03.155990,*,,BB2,Left,Right
2021-03-03 09:19:12.075317,*,,BB3,Left,Right
2021-03-03 09:19:57.279813,*,,BB2,Left,Right
2021-03-03 09:19:57.306207,0.6358,,Run,Left,Right
2021-03-03 09:20:18.386196,*,,BB5,Left,Right
2021-03-03 09:20:33.418735,-,,END,Left,Right
2021-03-03 09:20:41.323167,+,,Session start,Left,Right
2021-03-03 09:23:46.196660,*,,BB2,Left,Right
2021-03-03 09:23:46.697050,*,,BB3,Left,Right
2021-03-03 09:26:51.436782,*,,BB2,Left,Right
2021-03-03 09:26:51.459263,0.705,,Run,Left,Right
2021-03-03 09:27:03.484603,*,,BB5,Left,Right
2021-03-03 09:27:18.521392,-,,END,Left,Right
2021-03-03 09:27:20.191299,+,,Session start,Left,Right
2021-03-03 09:27:36.185019,*,,BB2,Left,Right
2021-03-03 09:27:37.889567,*,,BB3,Left,Right
2021-03-03 09:27:41.247190,*,,BB2,Left,Right
2021-03-03 09:27:41.272902,0.57,,Run,Left,Right
2021-03-03 09:28:03.043124,*,,BB5,Left,Right
2021-03-03 09:28:18.086600,-,,END,Left,Right
2021-03-03 09:28:20.437162,+,,Session start,Left,Right
2021-03-03 09:28:48.678081,*,,BB2,Left,Right
2021-03-03 09:29:34.670516,*,,BB3,Left,Right
2021-03-03 09:29:57.775414,*,,BB2,Left,Right
2021-03-03 09:29:57.801635,0.53,,Run,Left,Right
2021-03-03 09:30:23.152296,*,,BB5,Left,Right
2021-03-03 09:30:38.194579,-,,END,Left,Right
2021-03-03 09:30:40.458013,+,,Session start,Left,Right
2021-03-03 09:31:02.075644,*,,BB2,Left,Right
2021-03-03 09:31:03.337351,*,,BB3,Left,Right
2021-03-03 09:31:20.770434,*,,BB2,Left,Right
2021-03-03 09:31:20.802490,0.5425,,Run,Left,Right
2021-03-03 09:31:39.597038,*,,BB5,Left,Right
2021-03-03 09:31:54.628784,-,,END,Left,Right
2021-03-03 09:31:56.371381,+,,Session start,Left,Right
2021-03-03 09:35:25.093776,*,,BB2,Left,Right
2021-03-03 09:35:25.558050,*,,BB3,Left,Right
2021-03-03 09:35:54.817954,*,,BB2,Left,Right
2021-03-03 09:35:54.845426,0.5242,,Run,Left,Right
2021-03-03 09:35:57.164094,*,,BB5,Left,Right
2021-03-03 09:36:12.201746,-,,END,Left,Right
2021-03-03 12:52:45.014048,+,,Session start,Left,Right
2021-03-03 12:53:03.899355,*,,BB2,Left,Right
2021-03-03 12:53:05.793617,*,,BB3,Left,Right
2021-03-03 12:53:19.534409,0.5525,,Run_log,Left,Right
2021-03-03 12:53:31.670624,*,,BB5,Left,Right
2021-03-03 12:53:46.716581,-,,END,Left,Right
2021-03-03 12:53:59.850825,+,,Session start,Left,Right
2021-03-03 12:54:19.298612,*,,BB2,Left,Right
2021-03-03 12:54:20.072884,*,,BB3,Left,Right
2021-03-03 12:54:40.055612,0.4658,,Run_log,Left,Right
2021-03-03 12:54:56.741710,*,,BB3,Left,Right
2021-03-03 12:55:09.858229,0.5375,,Run_log,Left,Right
2021-03-03 12:55:24.375420,*,,BB5,Left,Right
2021-03-03 12:55:39.422803,-,,END,Left,Right
2021-03-03 12:55:43.880057,+,,Session start,Left,Right
2021-03-03 12:56:00.299336,*,,BB2,Left,Right
2021-03-03 12:56:07.951303,*,,BB4,Left,Right
2021-03-03 12:57:02.511710,0.525,,Food_log,Left,Right
2021-03-03 12:57:07.755507,*,,BB5,Left,Right
2021-03-03 12:57:22.793389,-,,END,Left,Right
2021-03-03 12:57:26.865251,+,,Session start,Left,Right
2021-03-03 12:58:02.874306,*,,BB2,Left,Right
2021-03-03 12:58:03.903685,*,,BB3,Left,Right
2021-03-03 12:58:33.055852,1.1733,,Run_log,Left,Right
2021-03-03 12:59:12.682048,*,,BB5,Left,Right
2021-03-03 12:59:27.719293,-,,END,Left,Right
2021-03-03 12:59:33.996717,+,,Session start,Left,Right
2021-03-03 12:59:51.577993,*,,BB2,Left,Right
2021-03-03 12:59:53.939275,*,,BB3,Left,Right
2021-03-03 13:00:11.020497,0.4792,,Run_log,Left,Right
2021-03-03 13:00:42.144269,*,,BB5,Left,Right
2021-03-03 13:00:57.183366,-,,END,Left,Right
2021-03-03 13:01:01.561328,+,,Session start,Left,Right
2021-03-03 13:01:27.745953,*,,BB2,Left,Right
2021-03-03 13:01:34.045618,*,,BB3,Left,Right
2021-03-03 13:01:40.960428,0.3875,,Run_log,Left,Right
2021-03-03 13:02:03.598852,*,,BB5,Left,Right
2021-03-03 13:02:18.645274,-,,END,Left,Right
2021-03-03 13:02:21.000906,+,,Session start,Left,Right
2021-03-03 13:02:38.867625,*,,BB2,Left,Right
2021-03-03 13:02:44.581469,*,,BB3,Left,Right
2021-03-03 13:03:45.483402,0.5975,,Run_log,Left,Right
2021-03-03 13:04:14.795119,*,,BB5,Left,Right
2021-03-03 13:04:29.833340,-,,END,Left,Right
2021-03-03 13:04:40.137933,+,,Session start,Left,Right
2021-03-03 13:04:57.816484,*,,BB2,Left,Right
2021-03-03 13:04:58.564626,*,,BB3,Left,Right
2021-03-03 13:05:09.476189,0.4142,,Run_log,Left,Right
2021-03-03 13:05:19.126106,*,,BB5,Left,Right
2021-03-03 13:05:34.164477,-,,END,Left,Right
2021-03-03 13:05:50.402881,+,,Session start,Left,Right
2021-03-03 13:06:15.303586,*,,BB2,Left,Right
2021-03-03 13:06:23.546566,*,,BB4,Left,Right
2021-03-03 13:07:07.795361,0.59,,Food_log,Left,Right
2021-03-03 13:07:15.176636,*,,BB5,Left,Right
2021-03-03 13:07:30.203989,-,,END,Left,Right
2021-03-03 13:07:32.573274,+,,Session start,Left,Right
2021-03-03 13:07:55.716196,*,,BB2,Left,Right
2021-03-03 13:07:56.593996,*,,BB3,Left,Right
2021-03-03 13:08:13.581551,0.8075,,Run_log,Left,Right
2021-03-03 13:28:42.187690,*,,BB5,Left,Right
2021-03-03 13:28:57.211510,-,,END,Left,Right
2021-03-03 13:28:59.666898,+,,Session start,Left,Right
2021-03-03 13:29:22.994725,*,,BB2,Left,Right
2021-03-03 13:29:32.940388,*,,BB3,Left,Right
2021-03-03 13:29:59.594847,0.4817,,Run_log,Left,Right
2021-03-03 13:30:07.659565,*,,BB5,Left,Right
2021-03-03 13:30:22.700377,-,,END,Left,Right
2021-03-03 13:30:41.058176,+,,Session start,Left,Right
2021-03-03 13:31:11.697030,*,,BB2,Left,Right
2021-03-03 13:31:12.339393,*,,BB3,Left,Right
2021-03-03 13:31:36.798296,0.6117,,Run_log,Left,Right
2021-03-03 13:31:40.748831,*,,BB5,Left,Right
2021-03-03 13:31:55.793385,-,,END,Left,Right
2021-03-03 13:44:56.690601,+,,Session start,Left,Right
2021-03-03 13:45:34.322772,*,,BB2,Left,Right
2021-03-03 13:45:35.884230,*,,BB3,Left,Right
2021-03-03 13:46:02.716757,0.1092,,Run_log,Left,Right
2021-03-03 13:46:19.497150,*,,BB3,Left,Right
2021-03-03 13:46:32.692689,0.045,,Run_log,Left,Right
2021-03-03 13:46:52.845167,*,,BB3,Left,Right
2021-03-03 13:47:10.319156,0.1083,,Run_log,Left,Right
2021-03-03 13:47:28.727522,*,,BB4,Left,Right
2021-03-03 13:48:42.867457,0.0983,,Food_log,Left,Right
2021-03-03 13:48:48.634762,*,,BB4,Left,Right
2021-03-03 13:50:04.545853,0.0892,,Food_log,Left,Right
2021-03-03 13:50:11.259264,*,,BB3,Left,Right
2021-03-03 13:50:54.819046,0.0817,,Run_log,Left,Right
2021-03-03 13:51:03.379939,*,,BB4,Left,Right
2021-03-03 13:51:43.245947,0.0833,,Food_log,Left,Right
2021-03-03 13:51:47.023816,*,,BB3,Left,Right
2021-03-03 13:52:20.378251,0.1775,,Run_log,Left,Right
2021-03-03 13:52:41.091760,*,,BB4,Left,Right
2021-03-03 13:53:57.099821,0.095,,Food_log,Left,Right
2021-03-03 13:54:17.454013,*,,BB4,Left,Right
2021-03-03 13:54:26.926130,0.0308,,Food_log,Left,Right
2021-03-03 13:54:31.242710,*,,BB3,Left,Right
2021-03-03 13:54:34.984310,0.0275,,Run_log,Left,Right
2021-03-03 13:54:44.432778,*,,BB4,Left,Right
2021-03-03 13:54:55.043942,0.0283,,Food_log,Left,Right
2021-03-03 13:54:59.721639,*,,BB3,Left,Right
2021-03-03 13:55:27.139902,0.06,,Run_log,Left,Right
2021-03-03 13:56:07.038782,*,,BB3,Left,Right
2021-03-03 13:57:09.987562,2.6525,,Run_log,Left,Right
2021-03-03 13:57:33.656998,*,,BB3,Left,Right
2021-03-03 13:57:38.053907,0.3283,,Run_log,Left,Right
2021-03-03 13:57:51.329919,*,,BB4,Left,Right
2021-03-03 13:59:42.977462,0.0942,,Food_log,Left,Right
2021-03-03 14:00:25.685404,*,,BB3,Left,Right
2021-03-03 14:00:27.572892,0.0275,,Run_log,Left,Right
2021-03-03 14:00:37.360896,*,,BB3,Left,Right
2021-03-03 14:00:50.753551,0.0275,,Run_log,Left,Right
2021-03-03 14:01:03.743875,*,,BB5,Left,Right
2021-03-03 14:01:18.792727,-,,END,Left,Right
2021-03-03 14:01:36.347532,+,,Session start,Left,Right
2021-03-03 14:12:22.958994,*,,BB2,Left,Right
2021-03-03 14:12:28.639743,*,,BB4,Left,Right
2021-03-03 14:12:42.775294,0.0267,,Food_log,Left,Right
