Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2021-03-03 09:38:04.765198,+,,Session start,Left,Right
2021-03-03 09:38:20.392991,*,,BB2,Left,Right
2021-03-03 09:38:25.422151,*,,BB4,Left,Right
2021-03-03 09:38:59.808639,*,,BB2,Left,Right
2021-03-03 09:38:59.840796,0.5633,,Food,Left,Right
2021-03-03 09:39:07.488613,*,,BB5,Left,Right
2021-03-03 09:39:22.535206,-,,END,Left,Right
2021-03-03 09:39:31.119836,+,,Session start,Left,Right
2021-03-03 09:39:45.386019,*,,BB2,Left,Right
2021-03-03 09:39:48.349498,*,,BB3,Left,Right
2021-03-03 09:39:57.943198,*,,BB2,Left,Right
2021-03-03 09:39:57.965900,0.5283,,Run,Left,Right
2021-03-03 09:40:04.964241,*,,BB3,Left,Right
2021-03-03 09:40:46.233487,*,,BB2,Left,Right
2021-03-03 09:40:46.260136,0.9675,,Run,Left,Right
2021-03-03 09:40:55.294997,*,,BB4,Left,Right
2021-03-03 09:41:21.727553,*,,BB2,Left,Right
2021-03-03 09:41:21.749989,0.4775,,Food,Left,Right
2021-03-03 09:41:28.033162,*,,BB5,Left,Right
2021-03-03 09:41:43.071136,-,,END,Left,Right
2021-03-03 09:41:45.718247,+,,Session start,Left,Right
2021-03-03 09:42:01.267364,*,,BB2,Left,Right
2021-03-03 09:42:02.280142,*,,BB3,Left,Right
2021-03-03 09:42:48.898347,*,,BB2,Left,Right
2021-03-03 09:42:48.928170,0.875,,Run,Left,Right
2021-03-03 09:43:07.357454,*,,BB4,Left,Right
2021-03-03 09:43:47.941978,*,,BB2,Left,Right
2021-03-03 09:43:47.965406,0.5125,,Food,Left,Right
2021-03-03 09:43:52.738197,*,,BB3,Left,Right
2021-03-03 09:44:20.750826,*,,BB2,Left,Right
2021-03-03 09:44:20.780621,8.7933,,Run,Left,Right
2021-03-03 09:44:24.390493,*,,BB5,Left,Right
2021-03-03 09:44:39.435049,-,,END,Left,Right
2021-03-03 09:44:42.299804,+,,Session start,Left,Right
2021-03-03 09:44:58.723349,*,,BB2,Left,Right
2021-03-03 09:44:59.779172,*,,BB3,Left,Right
2021-03-03 09:45:07.923093,*,,BB2,Left,Right
2021-03-03 09:45:07.945535,0.42,,Run,Left,Right
2021-03-03 09:45:11.523002,*,,BB5,Left,Right
2021-03-03 09:45:26.563348,-,,END,Left,Right
2021-03-03 09:45:28.225248,+,,Session start,Left,Right
2021-03-03 09:45:43.080758,*,,BB2,Left,Right
2021-03-03 09:46:02.332776,*,,BB4,Left,Right
2021-03-03 09:46:13.249166,*,,BB2,Left,Right
2021-03-03 09:46:13.279611,0.4258,,Food,Left,Right
2021-03-03 09:46:14.694439,*,,BB3,Left,Right
2021-03-03 09:47:05.525368,*,,BB2,Left,Right
2021-03-03 09:47:05.551559,0.86,,Run,Left,Right
2021-03-03 09:47:09.938946,*,,BB5,Left,Right
2021-03-03 09:47:24.978161,-,,END,Left,Right
2021-03-03 09:47:26.340510,+,,Session start,Left,Right
2021-03-03 09:47:40.740801,*,,BB2,Left,Right
2021-03-03 09:47:42.832820,*,,BB3,Left,Right
2021-03-03 09:48:06.493732,*,,BB2,Left,Right
2021-03-03 09:48:06.528916,0.4208,,Run,Left,Right
2021-03-03 09:48:18.093539,*,,BB4,Left,Right
2021-03-03 09:48:41.715781,*,,BB2,Left,Right
2021-03-03 09:48:41.744033,0.5592,,Food,Left,Right
2021-03-03 09:48:57.442094,*,,BB3,Left,Right
2021-03-03 09:49:07.313460,*,,BB2,Left,Right
2021-03-03 09:49:07.349765,0.5367,,Run,Left,Right
2021-03-03 09:49:10.160987,*,,BB4,Left,Right
2021-03-03 09:50:14.076711,*,,BB2,Left,Right
2021-03-03 09:50:14.099854,0.4758,,Food,Left,Right
2021-03-03 09:50:15.551359,*,,BB5,Left,Right
2021-03-03 09:50:30.577996,-,,END,Left,Right
2021-03-03 09:50:33.339769,+,,Session start,Left,Right
2021-03-03 09:50:50.061460,*,,BB2,Left,Right
2021-03-03 09:50:50.966674,*,,BB3,Left,Right
2021-03-03 09:51:37.022444,*,,BB2,Left,Right
2021-03-03 09:51:37.046305,2.27,,Run,Left,Right
2021-03-03 09:51:46.330883,*,,BB3,Left,Right
2021-03-03 09:52:59.106099,*,,BB2,Left,Right
2021-03-03 09:52:59.130342,0.99,,Run,Left,Right
2021-03-03 09:53:04.355824,*,,BB4,Left,Right
2021-03-03 09:53:48.266711,*,,BB2,Left,Right
2021-03-03 09:53:48.290057,0.52,,Food,Left,Right
2021-03-03 09:53:49.666935,*,,BB5,Left,Right
2021-03-03 09:54:04.696845,-,,END,Left,Right
2021-03-03 09:54:05.335668,+,,Session start,Left,Right
2021-03-03 09:54:21.278922,*,,BB2,Left,Right
2021-03-03 09:54:27.966622,*,,BB3,Left,Right
2021-03-03 09:54:46.092456,*,,BB2,Left,Right
2021-03-03 09:54:46.121891,0.3867,,Run,Left,Right
2021-03-03 09:54:49.776596,*,,BB5,Left,Right
2021-03-03 09:55:04.813378,-,,END,Left,Right
2021-03-03 09:55:24.068276,+,,Session start,Left,Right
2021-03-03 09:55:49.166744,*,,BB2,Left,Right
2021-03-03 09:55:49.840894,*,,BB3,Left,Right
2021-03-03 09:56:03.113433,*,,BB2,Left,Right
2021-03-03 09:56:03.142682,3.1883,,Run,Left,Right
2021-03-03 09:56:05.953382,*,,BB4,Left,Right
2021-03-03 09:58:24.615061,*,,BB2,Left,Right
2021-03-03 09:58:24.639063,0.5017,,Food,Left,Right
2021-03-03 09:58:25.792895,*,,BB5,Left,Right
2021-03-03 09:58:40.834927,-,,END,Left,Right
2021-03-03 09:58:46.812585,+,,Session start,Left,Right
2021-03-03 09:59:10.613623,*,,BB2,Left,Right
2021-03-03 09:59:11.576333,*,,BB3,Left,Right
2021-03-03 10:00:00.378793,*,,BB2,Left,Right
2021-03-03 10:00:00.402461,0.4842,,Run,Left,Right
2021-03-03 10:00:01.504141,*,,BB5,Left,Right
2021-03-03 10:00:16.535909,-,,END,Left,Right
2021-03-03 10:01:18.533743,+,,Session start,Left,Right
2021-03-03 10:01:35.518201,*,,BB2,Left,Right
2021-03-03 10:01:36.350270,*,,BB3,Left,Right
2021-03-03 10:03:16.471010,*,,BB2,Left,Right
2021-03-03 10:03:16.493360,6.7625,,Run,Left,Right
2021-03-03 10:03:18.473085,*,,BB5,Left,Right
2021-03-03 10:03:33.504381,-,,END,Left,Right
2021-03-03 10:03:58.592699,+,,Session start,Left,Right
2021-03-03 10:04:15.093304,*,,BB2,Left,Right
2021-03-03 10:04:16.684434,*,,BB3,Left,Right
2021-03-03 10:04:31.500488,*,,BB2,Left,Right
2021-03-03 10:04:31.529862,2.6533,,Run,Left,Right
2021-03-03 10:05:19.133661,*,,BB5,Left,Right
2021-03-03 10:05:34.164911,-,,END,Left,Right
2021-03-03 10:05:48.993859,+,,Session start,Left,Right
2021-03-03 10:06:04.124249,*,,BB2,Left,Right
2021-03-03 10:06:14.933314,*,,BB3,Left,Right
2021-03-03 10:06:20.500733,*,,BB2,Left,Right
2021-03-03 10:06:20.528294,0.395,,Run,Left,Right
2021-03-03 10:06:30.858791,*,,BB5,Left,Right
2021-03-03 10:06:45.893337,-,,END,Left,Right
2021-03-03 10:07:13.197703,+,,Session start,Left,Right
2021-03-03 10:07:30.599018,*,,BB2,Left,Right
2021-03-03 10:07:34.431850,*,,BB4,Left,Right
2021-03-03 10:08:01.838752,*,,BB2,Left,Right
2021-03-03 10:08:01.874547,0.5617,,Food,Left,Right
2021-03-03 10:08:12.056809,*,,BB5,Left,Right
2021-03-03 10:08:27.103358,-,,END,Left,Right
2021-03-03 10:08:28.865201,+,,Session start,Left,Right
2021-03-03 10:08:43.133717,*,,BB2,Left,Right
2021-03-03 10:08:44.328731,*,,BB4,Left,Right
2021-03-03 10:11:13.843574,*,,BB2,Left,Right
2021-03-03 10:11:13.870369,0.4458,,Food,Left,Right
