Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2021-03-05 15:01:41.648402,0.8108,,Run_log,Left,Right
2021-03-05 15:01:51.596736,*,,BB3,Left,Right
2021-03-05 15:02:06.661002,0.4533,,Run_log,Left,Right
2021-03-05 15:02:14.148342,*,,BB3,Left,Right
2021-03-05 15:02:25.547230,1.4058,,Run_log,Left,Right
2021-03-05 15:02:38.498324,*,,BB4,Left,Right
2021-03-05 15:03:07.017390,0.5942,,Food_log,Left,Right
2021-03-05 15:04:09.308436,*,,BB4,Left,Right
2021-03-05 15:04:11.559800,0.4625,,Food_log,Left,Right
2021-03-05 15:04:21.648823,*,,BB3,Left,Right
2021-03-05 15:04:25.123904,0.4825,,Run_log,Left,Right
2021-03-05 15:04:39.765144,*,,BB3,Left,Right
2021-03-05 15:06:17.218298,0.9108,,Run_log,Left,Right
2021-03-05 15:06:41.625997,*,,BB4,Left,Right
2021-03-05 15:06:45.781814,0.4108,,Food_log,Left,Right
2021-03-05 15:06:49.736961,*,,BB3,Left,Right
2021-03-05 15:07:07.313550,0.5983,,Run_log,Left,Right
2021-03-05 15:07:11.247319,*,,BB3,Left,Right
2021-03-05 15:07:24.367534,0.425,,Run_log,Left,Right
2021-03-05 15:07:26.570739,*,,BB4,Left,Right
2021-03-05 15:07:39.820434,0.5408,,Food_log,Left,Right
2021-03-05 15:08:06.783467,*,,BB4,Left,Right
2021-03-05 15:08:27.819164,0.5417,,Food_log,Left,Right
2021-03-05 15:08:36.246963,*,,BB3,Left,Right
2021-03-05 15:08:43.866201,0.5017,,Run_log,Left,Right
2021-03-05 15:08:49.201424,*,,BB4,Left,Right
2021-03-05 15:12:41.585236,0.5742,,Food_log,Left,Right
2021-03-05 15:12:44.185047,*,,BB3,Left,Right
2021-03-05 15:13:27.159798,0.5358,,Run_log,Left,Right
2021-03-05 15:13:45.458001,*,,BB3,Left,Right
2021-03-05 15:13:54.645598,0.5167,,Run_log,Left,Right
2021-03-05 15:13:57.230770,*,,BB4,Left,Right
2021-03-05 15:14:13.239953,0.44,,Food_log,Left,Right
2021-03-05 15:14:50.647942,*,,BB4,Left,Right
2021-03-05 15:15:00.098524,0.5417,,Food_log,Left,Right
2021-03-05 15:15:48.948167,*,,BB3,Left,Right
2021-03-05 15:17:46.671128,0.5458,,Run_log,Left,Right
2021-03-05 15:18:09.032094,*,,BB4,Left,Right
2021-03-05 15:18:36.033985,0.6225,,Food_log,Left,Right
2021-03-05 15:18:41.602712,*,,BB3,Left,Right
2021-03-05 15:19:00.469101,0.4542,,Run_log,Left,Right
2021-03-05 15:19:09.303865,*,,BB4,Left,Right
2021-03-05 15:19:29.631672,0.5717,,Food_log,Left,Right
2021-03-05 15:19:33.821887,*,,BB4,Left,Right
2021-03-05 15:20:14.171679,0.5825,,Food_log,Left,Right
2021-03-05 15:20:15.409006,*,,BB3,Left,Right
2021-03-05 15:20:30.159795,0.46,,Run_log,Left,Right
2021-03-05 15:23:10.059975,*,,BB4,Left,Right
2021-03-05 15:24:01.167636,0.5925,,Food_log,Left,Right
2021-03-05 15:24:02.642444,*,,BB3,Left,Right
2021-03-05 15:25:21.844742,0.7125,,Run_log,Left,Right
2021-03-05 15:25:52.628242,*,,BB3,Left,Right
2021-03-05 15:26:39.743411,0.87,,Run_log,Left,Right
2021-03-05 15:26:43.624467,*,,BB3,Left,Right
2021-03-05 15:26:58.749573,0.6175,,Run_log,Left,Right
2021-03-05 15:27:02.741361,*,,BB4,Left,Right
2021-03-05 15:27:25.525386,0.5633,,Food_log,Left,Right
2021-03-05 15:27:36.950640,*,,BB4,Left,Right
2021-03-05 15:27:45.802741,0.5308,,Food_log,Left,Right
2021-03-05 15:27:49.624489,*,,BB3,Left,Right
2021-03-05 15:27:59.409326,0.465,,Run_log,Left,Right
2021-03-05 15:28:01.479649,*,,BB3,Left,Right
2021-03-05 15:28:49.005420,0.6525,,Run_log,Left,Right
2021-03-05 15:29:06.975687,*,,BB4,Left,Right
2021-03-05 15:29:11.322477,0.4567,,Food_log,Left,Right
2021-03-05 15:29:14.221281,*,,BB4,Left,Right
2021-03-05 15:30:22.937404,0.665,,Food_log,Left,Right
2021-03-05 15:30:25.372006,*,,BB3,Left,Right
2021-03-05 15:32:31.408566,1.0883,,Run_log,Left,Right
2021-03-05 15:32:47.096217,*,,BB4,Left,Right
2021-03-05 15:33:04.113041,0.5042,,Food_log,Left,Right
2021-03-05 15:33:13.089632,*,,BB3,Left,Right
2021-03-05 15:33:46.026993,1.0508,,Run_log,Left,Right
2021-03-05 15:34:20.254230,*,,BB3,Left,Right
2021-03-05 15:34:24.916187,0.47,,Run_log,Left,Right
2021-03-05 15:34:55.453453,*,,BB3,Left,Right
2021-03-05 15:35:46.148414,10.6508,,Run_log,Left,Right
2021-03-05 15:36:12.598006,*,,BB3,Left,Right
2021-03-05 15:36:17.733582,0.4642,,Run_log,Left,Right
2021-03-05 15:36:31.006461,*,,BB3,Left,Right
2021-03-05 15:36:34.286888,0.4617,,Run_log,Left,Right
2021-03-05 15:36:48.884939,*,,BB3,Left,Right
2021-03-05 15:36:51.131153,0.3842,,Run_log,Left,Right
2021-03-05 15:37:06.823591,*,,BB4,Left,Right
2021-03-05 15:37:15.685450,0.4767,,Food_log,Left,Right
2021-03-05 15:37:26.338479,*,,BB3,Left,Right
2021-03-05 15:39:30.509238,0.8508,,Run_log,Left,Right
2021-03-05 15:39:37.196422,*,,BB3,Left,Right
2021-03-05 15:44:53.528041,0.6675,,Run_log,Left,Right
2021-03-05 15:45:13.742115,*,,BB3,Left,Right
2021-03-05 15:45:43.384080,0.5425,,Run_log,Left,Right
2021-03-05 15:45:54.076314,*,,BB4,Left,Right
2021-03-05 15:50:21.247055,0.4992,,Food_log,Left,Right
2021-03-05 15:50:28.531486,*,,BB3,Left,Right
2021-03-05 15:53:19.727574,0.6142,,Run_log,Left,Right
2021-03-05 15:53:42.817552,*,,BB3,Left,Right
2021-03-05 15:53:55.090108,0.4167,,Run_log,Left,Right
2021-03-05 15:54:10.532305,*,,BB3,Left,Right
2021-03-05 15:54:25.103698,1.3067,,Run_log,Left,Right
2021-03-05 15:54:52.495566,*,,BB4,Left,Right
2021-03-05 16:00:05.526034,0.5367,,Food_log,Left,Right
2021-03-05 16:00:13.994095,*,,BB3,Left,Right
2021-03-05 16:01:15.205534,0.595,,Run_log,Left,Right
2021-03-05 16:01:16.787024,*,,BB3,Left,Right
2021-03-05 16:01:23.648494,0.6367,,Run_log,Left,Right
2021-03-05 16:01:29.001573,*,,BB5,Left,Right
2021-03-05 16:01:44.046399,-,,END,Left,Right
2021-03-08 14:45:26.794830,+,,START,Left,Right
2021-03-08 14:46:56.598571,+,,Session start,Left,Right
2021-03-08 14:47:28.529536,*,,BB2,Left,Right
2021-03-08 14:47:38.161186,*,,BB3,Left,Right
2021-03-08 14:48:00.357936,0.6675,,Run_log,Left,Right
2021-03-08 14:48:10.515161,*,,BB4,Left,Right
2021-03-08 14:48:24.845264,0.6983,,Food_log,Left,Right
2021-03-08 14:48:26.215156,*,,BB3,Left,Right
2021-03-08 14:48:50.036761,0.7325,,Run_log,Left,Right
2021-03-08 14:48:55.959168,*,,BB3,Left,Right
2021-03-08 14:49:15.514404,1.225,,Run_log,Left,Right
2021-03-08 14:49:22.040054,*,,BB4,Left,Right
2021-03-08 14:49:58.001823,0.6508,,Food_log,Left,Right
2021-03-08 14:49:59.121926,*,,BB3,Left,Right
2021-03-08 14:50:26.604357,0.8358,,Run_log,Left,Right
2021-03-08 14:50:38.269621,*,,BB4,Left,Right
2021-03-08 14:51:16.669422,0.7267,,Food_log,Left,Right
2021-03-08 14:51:21.730607,*,,BB3,Left,Right
2021-03-08 14:52:08.163874,3.9892,,Run_log,Left,Right
2021-03-08 14:52:19.866595,*,,BB4,Left,Right
2021-03-08 14:52:38.587521,0.4842,,Food_log,Left,Right
2021-03-08 14:52:40.481491,*,,BB3,Left,Right
2021-03-08 14:54:15.446141,1.5383,,Run_log,Left,Right
2021-03-08 14:54:29.811146,*,,BB3,Left,Right
2021-03-08 14:54:33.447981,0.2283,,Run_log,Left,Right
2021-03-08 14:54:57.256293,*,,BB4,Left,Right
2021-03-08 14:55:15.380751,0.5458,,Food_log,Left,Right
2021-03-08 14:55:25.207596,*,,BB3,Left,Right
2021-03-08 14:55:30.235085,0.5233,,Run_log,Left,Right
2021-03-08 14:55:46.418488,*,,BB4,Left,Right
2021-03-08 14:55:52.175465,0.5408,,Food_log,Left,Right
2021-03-08 14:55:57.484532,*,,BB3,Left,Right
2021-03-08 14:56:55.763163,0.7575,,Run_log,Left,Right
2021-03-08 14:56:59.564849,*,,BB4,Left,Right
2021-03-08 14:57:19.532586,0.5808,,Food_log,Left,Right
2021-03-08 14:57:35.950650,*,,BB3,Left,Right
2021-03-08 14:57:54.249992,0.5233,,Run_log,Left,Right
2021-03-08 14:57:59.168536,*,,BB4,Left,Right
2021-03-08 14:58:27.247808,0.67,,Food_log,Left,Right
2021-03-08 14:58:36.647289,*,,BB3,Left,Right
2021-03-08 15:00:14.293713,1.2417,,Run_log,Left,Right
2021-03-08 15:00:18.244672,*,,BB4,Left,Right
2021-03-08 15:02:50.596872,0.64,,Food_log,Left,Right
2021-03-08 15:03:24.919084,*,,BB3,Left,Right
2021-03-08 15:04:45.321855,0.6975,,Run_log,Left,Right
2021-03-08 15:05:01.568410,*,,BB4,Left,Right
2021-03-08 15:05:09.338082,0.6167,,Food_log,Left,Right
2021-03-08 15:05:17.486163,*,,BB4,Left,Right
2021-03-08 15:05:21.528918,0.5367,,Food_log,Left,Right
2021-03-08 15:05:35.554501,*,,BB3,Left,Right
2021-03-08 15:06:30.273157,0.7917,,Run_log,Left,Right
2021-03-08 15:08:00.954309,*,,BB5,Left,Right
2021-03-08 15:08:15.999943,-,,END,Left,Right
