Weight_Mean,Weight_Median,Weight_Mode,Date_Time
19.823,20.2,20.3,2021-02-26 17:44:46.358667
19.406,19.8,19.9,2021-02-26 17:50:50.418077
19.618,19.95,20.2,2021-02-26 18:00:06.964807
19.709,19.9,19.8,2021-02-26 18:07:23.909381
11.084999999999999,19.6,NO MODE,2021-02-26 18:33:43.438871
19.713,20.0,20.0,2021-03-01 13:29:30.058090
0.0,-0.0,-0.0,2021-03-01 13:49:49.068686
19.13,19.8,20.4,2021-03-01 14:05:26.577649
19.34,19.7,20.1,2021-03-01 14:09:35.865534
19.323,19.85,20.1,2021-03-01 14:12:36.090653
19.424,19.8,20.0,2021-03-01 14:16:56.507665
19.491,19.75,19.9,2021-03-01 14:25:20.209183
19.221,19.0,20.0,2021-03-01 14:35:58.428962
18.72,19.4,19.5,2021-03-01 14:56:06.359147
19.07,19.3,NO MODE,2021-03-01 15:05:40.452625
18.918,19.3,19.7,2021-03-01 15:12:27.912004
19.139,19.3,19.6,2021-03-01 15:16:50.195613
17.956,18.8,19.8,2021-03-01 15:20:26.306640
18.843,19.1,19.5,2021-03-01 15:32:13.350019
18.877,19.2,19.3,2021-03-01 15:43:07.300798
