Weight_Mean,Weight_Median,Weight_Mode,Date_Time
18.222,18.6,18.9,2021-03-01 12:07:33.437102
17.446,18.5,18.8,2021-03-01 12:09:46.677663
16.96,18.5,NO MODE,2021-03-01 12:14:25.133726
18.435,18.7,19.0,2021-03-01 12:16:45.795894
18.522,18.8,18.8,2021-03-01 12:20:11.907228
18.517,18.75,18.8,2021-03-01 12:24:53.451592
18.727,18.8,18.9,2021-03-01 12:27:36.230654
18.763,18.8,18.8,2021-03-01 12:31:28.555775
18.689,18.7,NO MODE,2021-03-01 12:36:02.190849
18.373,18.7,18.7,2021-03-01 12:39:27.010069
13.685,18.25,0.0,2021-03-01 12:41:01.397894
18.768,18.8,18.7,2021-03-01 12:42:50.503457
5.706,1.3,0.0,2021-03-01 12:49:22.699572
11.013,18.299999999999997,0.0,2021-03-01 12:50:49.028104
10.49,14.55,18.5,2021-03-01 12:55:00.205378
18.401,18.7,18.7,2021-03-01 13:01:00.350138
18.118,18.7,18.7,2021-03-01 13:03:56.499505
18.632,18.7,18.6,2021-03-01 13:05:52.952735
0.532,0.1,0.0,2021-03-01 13:08:17.813181
5.288,1.1,0.0,2021-03-01 13:11:51.457889
18.411,18.6,18.6,2021-03-01 13:13:17.548619
3.1109999999999998,0.7,0.0,2021-03-01 13:18:40.206326
15.786,18.6,NO MODE,2021-03-01 13:22:22.370419
18.055,18.6,18.6,2021-03-01 13:25:00.846538
18.26,18.7,18.8,2021-03-02 11:55:49.221908
18.223,18.5,18.5,2021-03-02 11:59:54.994971
17.89,18.6,18.9,2021-03-02 12:08:19.529306
16.355,18.4,18.8,2021-03-02 12:11:43.176739
18.007,18.5,18.8,2021-03-02 12:17:26.460652
18.628,18.8,18.9,2021-03-02 12:24:13.782751
18.091,18.4,18.7,2021-03-02 12:26:38.720931
18.277,18.6,18.7,2021-03-02 12:28:51.816756
18.157,18.5,18.7,2021-03-02 12:32:19.358087
18.192,18.6,NO MODE,2021-03-02 12:34:49.257119
18.683,18.7,18.7,2021-03-02 12:36:34.523064
18.242,18.7,18.7,2021-03-02 12:44:10.027294
0.002,0.0,0.0,2021-03-02 12:52:02.137318
0.0,0.0,0.0,2021-03-02 12:55:55.200580
2.615,0.0,0.0,2021-03-02 12:59:59.915266
0.0,0.0,0.0,2021-03-02 13:01:02.816651
0.0,0.0,0.0,2021-03-02 13:02:10.640408
0.0,0.0,0.0,2021-03-02 13:03:32.384321
0.0,0.0,0.0,2021-03-02 13:04:45.293440
0.0,0.0,0.0,2021-03-02 13:06:20.911115
17.022,16.9,18.4,2021-03-02 13:09:46.630723
18.226,18.4,18.4,2021-03-02 13:11:07.704945
0.0,0.0,0.0,2021-03-02 13:12:43.826521
5.758,0.0,0.0,2021-03-02 13:19:49.780903
