Rotation,Type,Date_Time
4.1258,Run,2021-03-01 11:11:33.687708
*,BB5,2021-03-01 11:11:50.441989
-,END,2021-03-01 11:12:05.479159
+,Session start,2021-03-01 11:12:29.566384
*,BB2,2021-03-01 11:12:44.990665
*,BB5,2021-03-01 11:12:46.489182
*,BB2,2021-03-01 11:14:34.065888
0.6475,Run,2021-03-01 11:14:34.093243
*,BB5,2021-03-01 11:14:53.246772
-,END,2021-03-01 11:15:08.283260
+,Session start,2021-03-01 11:15:12.846498
*,BB2,2021-03-01 11:15:38.570049
*,BB4,2021-03-01 11:15:49.348256
*,BB2,2021-03-01 11:16:12.414804
0.8033,Food,2021-03-01 11:16:12.441459
*,BB5,2021-03-01 11:16:15.464579
*,BB2,2021-03-01 11:16:28.904207
0.58,Run,2021-03-01 11:16:28.932190
*,BB5,2021-03-01 11:16:46.132294
*,BB2,2021-03-01 11:17:54.429277
9.5208,Run,2021-03-01 11:17:54.459895
*,BB5,2021-03-01 11:18:13.364618
-,END,2021-03-01 11:18:28.391215
+,Session start,2021-03-01 11:18:37.400465
*,BB2,2021-03-01 11:18:53.145314
*,BB5,2021-03-01 11:19:00.061748
*,BB2,2021-03-01 11:19:39.753902
2.9925,Run,2021-03-01 11:19:39.776183
*,BB5,2021-03-01 11:19:58.454131
-,END,2021-03-01 11:20:13.485303
+,Session start,2021-03-01 11:20:20.778717
*,BB2,2021-03-01 11:20:35.994223
*,BB4,2021-03-01 11:20:40.615757
*,BB2,2021-03-01 11:21:30.684776
0.6225,Food,2021-03-01 11:21:30.710326
*,BB5,2021-03-01 11:22:31.192056
-,END,2021-03-01 11:22:46.230039
+,Session start,2021-03-01 11:22:48.392556
*,BB2,2021-03-01 11:23:03.665744
*,BB4,2021-03-01 11:23:07.829943
*,BB2,2021-03-01 11:24:06.336698
0.68,Food,2021-03-01 11:24:06.364404
*,BB5,2021-03-01 11:24:17.034643
-,END,2021-03-01 11:24:32.061109
+,Session start,2021-03-01 11:24:32.494638
*,BB2,2021-03-01 11:25:00.758291
*,BB5,2021-03-01 11:25:05.122686
*,BB2,2021-03-01 11:25:07.878398
0.5,Run,2021-03-01 11:25:07.900411
*,BB5,2021-03-01 11:25:36.061446
*,BB2,2021-03-01 11:25:40.761764
0.6442,Run,2021-03-01 11:25:40.790191
*,BB5,2021-03-01 11:26:29.794629
-,END,2021-03-01 11:26:44.838032
+,Session start,2021-03-01 11:26:45.294123
*,BB2,2021-03-01 11:27:06.578500
*,BB5,2021-03-01 11:27:09.335175
*,BB2,2021-03-01 11:28:22.710700
0.655,Run,2021-03-01 11:28:22.742610
*,BB5,2021-03-01 11:28:30.631776
-,END,2021-03-01 11:28:45.657607
+,Session start,2021-03-01 11:28:54.765445
*,BB2,2021-03-01 11:29:11.302704
*,BB5,2021-03-01 11:29:13.326049
*,BB2,2021-03-01 11:29:41.196095
8.5542,Run,2021-03-01 11:29:41.219225
*,BB5,2021-03-01 11:29:55.710619
-,END,2021-03-01 11:30:10.743364
+,Session start,2021-03-01 11:30:13.810053
*,BB2,2021-03-01 11:30:38.222199
*,BB5,2021-03-01 11:30:40.334982
*,BB2,2021-03-01 11:30:42.811134
0.5675,Run,2021-03-01 11:30:42.833036
*,BB5,2021-03-01 11:30:51.231769
-,END,2021-03-01 11:31:06.276738
+,Session start,2021-03-01 11:31:14.781810
*,BB2,2021-03-01 11:31:32.201789
*,BB5,2021-03-01 11:32:19.902248
-,END,2021-03-01 11:32:34.928251
+,Session start,2021-03-01 11:32:41.608807
*,BB2,2021-03-01 11:32:59.977574
*,BB5,2021-03-01 11:33:02.136158
*,BB2,2021-03-01 11:33:06.201814
0.565,Run,2021-03-01 11:33:06.226513
*,BB5,2021-03-01 11:33:14.236253
*,BB2,2021-03-01 11:35:02.038964
5.255,Run,2021-03-01 11:35:02.061509
*,BB5,2021-03-01 11:35:09.224884
-,END,2021-03-01 11:35:24.262976
+,Session start,2021-03-01 11:35:32.040386
*,BB2,2021-03-01 11:35:46.790381
*,BB5,2021-03-01 11:35:48.227214
*,BB2,2021-03-01 11:35:52.362548
0.4275,Run,2021-03-01 11:35:52.399472
*,BB5,2021-03-01 11:36:03.803744
-,END,2021-03-01 11:36:18.846268
+,Session start,2021-03-01 11:36:36.091528
*,BB2,2021-03-01 11:36:51.299381
*,BB4,2021-03-01 11:36:55.368369
*,BB2,2021-03-01 11:38:22.273773
0.6858,Food,2021-03-01 11:38:22.299122
*,BB5,2021-03-01 11:38:50.381046
-,END,2021-03-01 11:39:05.425573
+,Session start,2021-03-01 11:39:07.899256
*,BB2,2021-03-01 11:39:44.664518
*,BB5,2021-03-01 11:39:45.988169
*,BB2,2021-03-01 11:40:01.284264
0.4725,Run,2021-03-01 11:40:01.309277
*,BB5,2021-03-01 11:40:10.991407
-,END,2021-03-01 11:40:26.033618
+,Session start,2021-03-01 11:40:44.795994
*,BB2,2021-03-01 11:41:04.036541
*,BB4,2021-03-01 11:41:06.788800
*,BB2,2021-03-01 11:41:12.214304
0.63,Food,2021-03-01 11:41:12.241712
*,BB5,2021-03-01 11:41:37.337542
-,END,2021-03-01 11:41:52.383388
+,Session start,2021-03-01 11:41:53.944492
*,BB2,2021-03-01 11:42:12.251970
*,BB5,2021-03-01 11:42:13.343098
*,BB2,2021-03-01 11:42:24.393708
0.4908,Run,2021-03-01 11:42:24.422184
*,BB5,2021-03-01 11:42:49.570785
-,END,2021-03-01 11:43:04.615472
+,Session start,2021-03-01 11:43:09.500178
*,BB2,2021-03-01 11:43:26.133959
*,BB5,2021-03-01 11:43:26.900819
*,BB2,2021-03-01 11:43:50.458692
8.5458,Run,2021-03-01 11:43:50.491818
*,BB5,2021-03-01 11:44:58.464697
-,END,2021-03-01 11:45:13.511687
+,Session start,2021-03-01 11:45:19.372361
*,BB2,2021-03-01 11:45:41.617278
*,BB5,2021-03-01 11:45:42.424277
*,BB2,2021-03-01 11:49:02.840465
0.7317,Run,2021-03-01 11:49:02.872976
*,BB5,2021-03-01 11:49:24.079012
-,END,2021-03-01 11:49:39.109832
+,Session start,2021-03-01 11:49:43.896472
*,BB2,2021-03-01 11:50:06.516307
*,BB4,2021-03-01 11:50:11.018931
*,BB2,2021-03-01 11:52:34.515937
0.5692,Food,2021-03-01 11:52:34.542102
*,BB5,2021-03-01 11:52:41.825736
-,END,2021-03-01 11:52:56.867680
+,Session start,2021-03-01 11:53:17.535902
*,BB2,2021-03-01 11:53:35.260535
*,BB5,2021-03-01 11:53:36.499660
*,BB2,2021-03-01 11:53:40.741375
0.4842,Run,2021-03-01 11:53:40.764062
*,BB5,2021-03-01 11:54:17.919515
-,END,2021-03-01 11:54:32.948773
+,Session start,2021-03-01 11:54:35.419721
*,BB2,2021-03-01 11:54:54.827237
*,BB5,2021-03-01 11:55:00.066957
*,BB2,2021-03-01 11:55:07.868607
1.3367,Run,2021-03-01 11:55:07.890907
*,BB5,2021-03-01 11:55:53.282100
+,Session start,2021-03-01 16:09:37.698571
*,BB2,2021-03-01 16:09:52.370597
*,BB5,2021-03-01 16:09:57.751579
*,BB2,2021-03-01 16:10:13.080631
0.5367,Run,2021-03-01 16:10:13.114719
*,BB5,2021-03-01 16:10:19.465424
*,BB2,2021-03-01 16:10:44.634847
3.74,Run,2021-03-01 16:10:44.669380
*,EXIT,2021-03-01 16:10:58.966203
-,END,2021-03-01 16:11:13.994844
+,Session start,2021-03-01 16:11:17.159810
*,BB2,2021-03-01 16:11:32.573090
*,BB5,2021-03-01 16:11:40.176040
*,BB2,2021-03-01 16:11:53.186922
0.445,Run,2021-03-01 16:11:53.215082
*,EXIT,2021-03-01 16:12:07.092048
-,END,2021-03-01 16:12:22.126437
+,Session start,2021-03-01 16:12:24.691353
*,BB2,2021-03-01 16:12:46.303613
*,BB4,2021-03-01 16:12:51.646808
*,BB2,2021-03-01 16:13:26.950359
0.49,Food,2021-03-01 16:13:26.976732
*,BB5,2021-03-01 16:13:31.167111
*,BB2,2021-03-01 16:13:58.218377
0.5975,Run,2021-03-01 16:13:58.241104
*,EXIT,2021-03-01 16:14:16.370753
-,END,2021-03-01 16:14:31.397269
+,Session start,2021-03-01 16:14:35.769106
*,BB2,2021-03-01 16:14:51.765856
*,BB5,2021-03-01 16:14:54.186544
*,BB2,2021-03-01 16:16:14.395500
3.4625,Run,2021-03-01 16:16:14.417235
*,EXIT,2021-03-01 16:16:26.104090
-,END,2021-03-01 16:16:41.145028
+,Session start,2021-03-01 16:16:50.741628
*,BB2,2021-03-01 16:17:09.366548
*,BB4,2021-03-01 16:17:14.383168
*,BB2,2021-03-01 16:18:26.864001
0.5283,Food,2021-03-01 16:18:26.885713
*,EXIT,2021-03-01 16:18:44.115893
-,END,2021-03-01 16:18:59.153006
+,Session start,2021-03-01 16:19:05.436598
*,BB2,2021-03-01 16:19:21.806700
*,BB5,2021-03-01 16:19:33.319943
*,BB2,2021-03-01 16:19:40.852728
0.4525,Run,2021-03-01 16:19:40.881043
*,EXIT,2021-03-01 16:20:00.981923
-,END,2021-03-01 16:20:16.020316
+,Session start,2021-03-01 16:20:17.579813
*,BB2,2021-03-01 16:20:32.550721
*,BB4,2021-03-01 16:20:39.238337
*,BB2,2021-03-01 16:21:28.516325
0.5558,Food,2021-03-01 16:21:28.543753
*,EXIT,2021-03-01 16:22:28.663996
-,END,2021-03-01 16:22:43.699860
+,Session start,2021-03-01 16:22:47.468952
*,BB2,2021-03-01 16:23:06.612736
*,BB5,2021-03-01 16:23:07.611925
*,BB2,2021-03-01 16:31:20.441749
0.5383,Run,2021-03-01 16:31:20.466394
*,EXIT,2021-03-01 16:32:04.884251
-,END,2021-03-01 16:32:19.922374
+,Session start,2021-03-01 16:32:25.600999
*,BB2,2021-03-01 16:32:39.839437
*,BB5,2021-03-01 16:32:40.802485
*,BB2,2021-03-01 16:33:43.128036
3.1975,Run,2021-03-01 16:33:43.152700
*,EXIT,2021-03-01 16:33:58.758972
-,END,2021-03-01 16:34:13.795829
+,Session start,2021-03-01 16:34:29.525029
*,BB2,2021-03-01 16:34:45.115023
*,BB5,2021-03-01 16:35:12.835963
*,BB2,2021-03-01 16:35:32.992111
0.4175,Run,2021-03-01 16:35:33.013700
*,EXIT,2021-03-01 16:35:43.531538
-,END,2021-03-01 16:35:58.573652
+,Session start,2021-03-01 16:36:06.865769
*,BB2,2021-03-01 16:37:11.597132
*,BB5,2021-03-01 16:37:13.718812
*,BB2,2021-03-01 16:37:35.492108
0.5117,Run,2021-03-01 16:37:35.515969
*,EXIT,2021-03-01 16:37:55.788206
-,END,2021-03-01 16:38:10.827039
+,Session start,2021-03-01 16:38:22.535777
*,BB2,2021-03-01 16:38:48.443461
*,EXIT,2021-03-01 16:39:55.064888
-,END,2021-03-01 16:40:10.093399
+,Session start,2021-03-01 16:40:17.381055
*,BB2,2021-03-01 16:40:36.440788
*,EXIT,2021-03-01 16:41:13.716615
-,END,2021-03-01 16:41:28.754334
+,Session start,2021-03-01 16:41:31.315385
*,BB2,2021-03-01 16:41:52.076561
*,BB5,2021-03-01 16:41:52.932568
*,BB2,2021-03-01 16:42:45.989366
0.71,Run,2021-03-01 16:42:46.010852
*,EXIT,2021-03-01 16:43:05.142426
-,END,2021-03-01 16:43:20.165520
+,Session start,2021-03-01 16:43:22.724806
*,BB2,2021-03-01 16:43:38.719803
*,BB5,2021-03-01 16:43:39.372434
*,BB2,2021-03-01 16:44:30.148080
4.7767,Run,2021-03-01 16:44:30.171453
*,EXIT,2021-03-01 16:44:49.530585
-,END,2021-03-01 16:45:04.563301
+,Session start,2021-03-01 16:45:26.932161
*,BB2,2021-03-01 16:45:50.295905
*,BB4,2021-03-01 16:45:55.157779
*,BB2,2021-03-01 16:49:22.427053
0.5442,Food,2021-03-01 16:49:22.448796
*,EXIT,2021-03-01 16:50:12.952313
-,END,2021-03-01 16:50:27.978434
+,Session start,2021-03-01 16:50:30.237561
*,BB2,2021-03-01 16:50:44.448241
*,BB5,2021-03-01 16:50:45.342936
*,BB2,2021-03-01 16:59:18.267061
0.4383,Run,2021-03-01 16:59:18.295140
*,EXIT,2021-03-01 17:00:03.215590
-,END,2021-03-01 17:00:18.260054
+,Session start,2021-03-01 17:00:27.255625
*,BB2,2021-03-01 17:00:57.176029
*,BB5,2021-03-01 17:00:58.193468
*,BB2,2021-03-01 17:01:18.211119
0.4608,Run,2021-03-01 17:01:18.237694
*,BB5,2021-03-01 17:01:33.860592
*,BB2,2021-03-01 17:02:04.953552
0.7775,Run,2021-03-01 17:02:04.985443
*,EXIT,2021-03-01 17:02:39.106577
-,END,2021-03-01 17:02:54.139715
+,Session start,2021-03-01 17:02:56.594593
*,BB2,2021-03-01 17:03:14.147785
*,BB5,2021-03-01 17:03:14.911652
*,BB2,2021-03-01 17:05:30.024004
0.6242,Run,2021-03-01 17:05:30.045584
*,EXIT,2021-03-01 17:07:05.077207
-,END,2021-03-01 17:07:20.125375
+,Session start,2021-03-01 17:07:22.883782
*,BB2,2021-03-01 17:07:37.062615
*,BB5,2021-03-01 17:07:38.132306
*,BB2,2021-03-01 18:01:47.906917
0.5725,Run,2021-03-01 18:01:47.945126
*,EXIT,2021-03-01 18:02:13.778113
-,END,2021-03-01 18:02:28.813981
+,Session start,2021-03-01 18:02:30.973695
*,BB2,2021-03-01 18:02:46.840463
*,BB5,2021-03-01 18:03:00.157273
*,BB2,2021-03-01 18:03:35.276308
0.4725,Run,2021-03-01 18:03:35.306719
*,EXIT,2021-03-01 18:03:49.056119
-,END,2021-03-01 18:04:04.080679
+,Session start,2021-03-01 18:04:38.016509
*,BB2,2021-03-01 18:04:57.296388
*,BB5,2021-03-01 18:05:01.395246
*,BB2,2021-03-01 18:05:38.325309
0.5633,Run,2021-03-01 18:05:38.352332
*,BB4,2021-03-01 18:06:18.601957
*,BB2,2021-03-01 18:10:20.429223
0.585,Food,2021-03-01 18:10:20.451014
*,EXIT,2021-03-01 18:10:36.866935
-,END,2021-03-01 18:10:51.904177
+,Session start,2021-03-01 18:10:57.588313
*,BB2,2021-03-01 18:11:24.479160
*,BB5,2021-03-01 18:11:25.761339
*,BB2,2021-03-01 18:11:38.166983
3.035,Run,2021-03-01 18:11:38.188845
*,EXIT,2021-03-01 18:11:44.973074
-,END,2021-03-01 18:11:59.998622
+,Session start,2021-03-01 18:12:01.538975
*,BB2,2021-03-01 18:12:20.209265
*,BB5,2021-03-01 18:12:20.864184
*,BB2,2021-03-01 18:15:26.290267
1.1317,Run,2021-03-01 18:15:26.315501
*,EXIT,2021-03-01 18:17:19.429562
-,END,2021-03-01 18:17:34.463200
+,Session start,2021-03-01 18:17:43.341160
*,BB2,2021-03-01 18:18:33.397791
*,BB5,2021-03-01 18:18:34.577522
*,BB2,2021-03-01 18:19:05.514018
2.1158,Run,2021-03-01 18:19:05.542575
*,BB4,2021-03-01 18:19:23.769324
*,BB2,2021-03-01 18:21:55.466644
0.6042,Food,2021-03-01 18:21:55.490529
*,EXIT,2021-03-01 18:22:11.427212
-,END,2021-03-01 18:22:26.465040
+,Session start,2021-03-01 18:22:28.923451
*,BB2,2021-03-01 18:23:26.931913
*,BB5,2021-03-01 18:23:27.621898
*,BB2,2021-03-01 18:44:24.979604
0.5025,Run,2021-03-01 18:44:25.001775
*,BB5,2021-03-01 18:44:29.164486
*,BB2,2021-03-01 18:46:38.509261
0.6092,Run,2021-03-01 18:46:38.539108
*,EXIT,2021-03-01 18:47:20.766002
-,END,2021-03-01 18:47:35.801298
+,Session start,2021-03-01 18:47:49.325476
*,BB2,2021-03-01 18:48:17.911503
*,BB5,2021-03-01 18:48:22.554023
*,BB2,2021-03-01 18:48:40.537621
2.2183,Run,2021-03-01 18:48:40.564619
*,EXIT,2021-03-01 18:48:51.027542
-,END,2021-03-01 18:49:06.057894
+,Session start,2021-03-01 18:49:17.465512
*,BB2,2021-03-01 18:49:38.685105
*,BB5,2021-03-01 18:49:45.544954
*,BB2,2021-03-01 18:49:50.866831
0.4992,Run,2021-03-01 18:49:50.895399
*,BB4,2021-03-01 18:50:02.128643
*,BB2,2021-03-01 18:53:22.779171
0.515,Food,2021-03-01 18:53:22.802517
*,EXIT,2021-03-01 18:54:09.603461
-,END,2021-03-01 18:54:24.638451
+,Session start,2021-03-01 18:54:27.608649
*,BB2,2021-03-01 18:55:15.092557
*,BB5,2021-03-01 18:55:15.886341
*,BB2,2021-03-01 18:57:58.322116
0.6192,Run,2021-03-01 18:57:58.344478
*,EXIT,2021-03-01 18:58:39.801528
-,END,2021-03-01 18:58:54.849395
+,Session start,2021-03-01 18:59:16.919411
*,BB2,2021-03-01 19:00:15.085665
*,EXIT,2021-03-01 19:00:22.231232
-,END,2021-03-01 19:00:37.257356
+,Session start,2021-03-01 19:00:44.442995
*,BB2,2021-03-01 19:01:18.672295
*,BB5,2021-03-01 19:01:19.512522
*,BB2,2021-03-01 19:01:27.882077
0.41,Run,2021-03-01 19:01:27.907322
*,EXIT,2021-03-01 19:01:34.586411
-,END,2021-03-01 19:01:49.614608
+,Session start,2021-03-01 19:01:56.000409
*,BB2,2021-03-01 19:02:49.532795
*,BB5,2021-03-01 19:02:50.298592
*,BB2,2021-03-01 19:03:28.666658
6.9675,Run,2021-03-01 19:03:28.688868
*,EXIT,2021-03-01 19:03:43.843159
-,END,2021-03-01 19:03:58.874201
+,Session start,2021-03-01 19:04:01.753344
*,BB2,2021-03-01 19:05:03.908370
*,BB5,2021-03-01 19:05:04.737153
*,BB2,2021-03-01 19:05:31.219565
0.5342,Run,2021-03-01 19:05:31.243687
*,EXIT,2021-03-01 19:05:56.724074
-,END,2021-03-01 19:06:11.753554
+,Session start,2021-03-01 19:06:19.228826
*,BB2,2021-03-01 19:07:15.306476
*,BB5,2021-03-01 19:07:16.159011
*,BB2,2021-03-01 19:08:00.210204
0.515,Run,2021-03-01 19:08:00.235162
*,EXIT,2021-03-01 19:08:18.351381
-,END,2021-03-01 19:08:33.390570
+,Session start,2021-03-02 10:08:50.870108
*,BB2,2021-03-02 10:09:06.680621
*,BB5,2021-03-02 10:09:08.795440
*,BB2,2021-03-02 10:09:17.319089
0.6658,Run,2021-03-02 10:09:17.348120
*,EXIT,2021-03-02 10:09:34.710221
-,END,2021-03-02 10:09:49.751360
+,Session start,2021-03-02 10:09:52.223610
*,BB2,2021-03-02 10:10:06.377527
*,BB5,2021-03-02 10:10:07.300085
*,BB2,2021-03-02 10:10:13.894375
0.5625,Run,2021-03-02 10:10:13.917636
*,BB5,2021-03-02 10:10:19.179134
*,BB2,2021-03-02 10:10:26.137065
0.5475,Run,2021-03-02 10:10:26.170124
*,BB5,2021-03-02 10:10:28.439817
*,BB2,2021-03-02 10:10:39.112470
0.5167,Run,2021-03-02 10:10:39.134405
*,BB5,2021-03-02 10:10:44.417860
*,BB2,2021-03-02 10:12:09.289964
0.74,Run,2021-03-02 10:12:09.315803
*,BB5,2021-03-02 10:12:09.878903
*,BB2,2021-03-02 10:12:10.477066
0.0042,Run,2021-03-02 10:12:10.500613
*,BB5,2021-03-02 10:12:12.335085
*,BB2,2021-03-02 10:12:12.933086
0.0,Run,2021-03-02 10:12:12.964235
*,BB5,2021-03-02 10:12:19.134693
*,BB2,2021-03-02 10:12:19.732762
0.0008,Run,2021-03-02 10:12:19.760469
*,BB5,2021-03-02 10:12:20.900106
*,BB2,2021-03-02 10:12:21.498200
0.0025,Run,2021-03-02 10:12:21.529353
+,Session start,2021-03-02 10:15:04.282466
*,BB2,2021-03-02 10:15:19.696865
*,BB4,2021-03-02 10:15:23.880121
*,BB2,2021-03-02 10:15:48.203717
0.5008,Food,2021-03-02 10:15:48.226837
*,EXIT,2021-03-02 10:17:00.238327
-,END,2021-03-02 10:17:15.278196
+,Session start,2021-03-02 10:17:17.134888
*,BB2,2021-03-02 10:17:37.231739
*,BB5,2021-03-02 10:17:38.543452
*,BB2,2021-03-02 10:18:45.248007
4.745,Run,2021-03-02 10:18:45.275694
*,EXIT,2021-03-02 10:20:02.560099
-,END,2021-03-02 10:20:17.587378
+,Session start,2021-03-02 10:20:27.896435
*,BB2,2021-03-02 10:20:42.188418
*,BB5,2021-03-02 10:20:44.509039
*,BB2,2021-03-02 10:21:22.808328
0.5492,Run,2021-03-02 10:21:22.835918
*,EXIT,2021-03-02 10:21:34.709065
-,END,2021-03-02 10:21:49.743202
+,Session start,2021-03-02 10:21:51.183598
*,BB2,2021-03-02 10:22:06.757112
*,BB5,2021-03-02 10:22:14.379687
*,BB2,2021-03-02 10:22:29.967305
0.5625,Run,2021-03-02 10:22:29.998552
*,BB5,2021-03-02 10:22:51.117335
*,BB2,2021-03-02 10:23:04.024729
0.385,Run,2021-03-02 10:23:04.047571
*,BB5,2021-03-02 10:23:25.481757
*,BB2,2021-03-02 10:23:55.166171
0.6108,Run,2021-03-02 10:23:55.199545
*,BB4,2021-03-02 10:24:03.168884
*,BB2,2021-03-02 10:24:23.199353
0.4083,Food,2021-03-02 10:24:23.227404
*,BB4,2021-03-02 10:24:40.269576
*,BB2,2021-03-02 10:25:15.218289
0.5658,Food,2021-03-02 10:25:15.241503
*,EXIT,2021-03-02 10:25:20.054484
-,END,2021-03-02 10:25:35.092446
+,Session start,2021-03-02 10:25:49.139348
*,BB2,2021-03-02 10:26:10.096425
*,BB5,2021-03-02 10:26:23.381676
*,BB2,2021-03-02 10:26:40.349076
0.4633,Run,2021-03-02 10:26:40.378005
*,EXIT,2021-03-02 10:26:44.823746
-,END,2021-03-02 10:26:59.875113
+,Session start,2021-03-02 10:27:12.400125
*,BB2,2021-03-02 10:27:27.384047
*,BB4,2021-03-02 10:27:36.075293
*,BB2,2021-03-02 10:27:58.763487
0.5258,Food,2021-03-02 10:27:58.786366
*,EXIT,2021-03-02 10:28:04.006844
-,END,2021-03-02 10:28:19.044481
+,Session start,2021-03-02 10:28:22.111933
*,BB2,2021-03-02 10:28:36.757584
*,BB5,2021-03-02 10:28:37.710724
*,BB2,2021-03-02 10:29:12.642423
1.66,Run,2021-03-02 10:29:12.663652
*,EXIT,2021-03-02 10:29:21.648322
-,END,2021-03-02 10:29:36.686278
+,Session start,2021-03-02 10:29:40.765258
*,BB2,2021-03-02 10:30:23.751169
*,BB5,2021-03-02 10:30:25.390100
*,BB2,2021-03-02 10:30:44.727321
8.1733,Run,2021-03-02 10:30:44.750059
*,EXIT,2021-03-02 10:30:53.605733
-,END,2021-03-02 10:31:08.646932
+,Session start,2021-03-02 10:31:10.910397
*,BB2,2021-03-02 10:31:37.868535
*,BB5,2021-03-02 10:31:39.175918
*,BB2,2021-03-02 10:32:34.006741
0.4492,Run,2021-03-02 10:32:34.044538
*,EXIT,2021-03-02 10:32:44.455728
-,END,2021-03-02 10:32:59.481196
+,Session start,2021-03-02 10:33:01.673868
*,BB2,2021-03-02 10:33:21.353823
*,BB5,2021-03-02 10:33:23.955204
*,BB2,2021-03-02 10:33:45.425988
1.9133,Run,2021-03-02 10:33:45.458749
*,EXIT,2021-03-02 10:33:57.023713
-,END,2021-03-02 10:34:12.061973
+,Session start,2021-03-02 10:34:16.020802
*,BB2,2021-03-02 10:34:57.244944
*,BB5,2021-03-02 10:35:05.540895
*,BB2,2021-03-02 10:35:13.191771
0.3842,Run,2021-03-02 10:35:13.213411
*,EXIT,2021-03-02 10:35:22.965003
-,END,2021-03-02 10:35:38.002078
+,Session start,2021-03-02 10:35:41.974472
*,BB2,2021-03-02 10:36:09.034950
*,BB5,2021-03-02 10:36:18.817051
*,BB2,2021-03-02 10:36:28.658157
0.665,Run,2021-03-02 10:36:28.680534
*,EXIT,2021-03-02 10:36:35.441447
-,END,2021-03-02 10:36:50.483406
+,Session start,2021-03-02 10:37:07.529713
*,BB2,2021-03-02 10:37:25.371976
*,BB5,2021-03-02 10:37:26.014434
*,BB2,2021-03-02 10:38:40.423743
0.6,Run,2021-03-02 10:38:40.445497
*,BB5,2021-03-02 10:38:56.704616
*,BB2,2021-03-02 10:39:59.183130
2.985,Run,2021-03-02 10:39:59.218653
*,BB5,2021-03-02 10:40:05.966529
*,BB2,2021-03-02 10:40:09.513310
0.3692,Run,2021-03-02 10:40:09.548490
*,EXIT,2021-03-02 10:40:39.115373
-,END,2021-03-02 10:40:54.152834
+,Session start,2021-03-02 10:41:01.754657
*,BB2,2021-03-02 10:41:26.104840
*,BB5,2021-03-02 10:41:27.000579
*,BB2,2021-03-02 10:41:32.425832
0.4267,Run,2021-03-02 10:41:32.448499
*,EXIT,2021-03-02 10:41:47.253672
-,END,2021-03-02 10:42:02.291851
+,Session start,2021-03-02 10:42:06.472758
*,BB2,2021-03-02 10:42:20.766211
*,BB5,2021-03-02 10:42:21.724628
*,BB2,2021-03-02 10:42:27.325564
0.39,Run,2021-03-02 10:42:27.355789
*,EXIT,2021-03-02 10:42:43.976451
-,END,2021-03-02 10:42:59.013388
+,Session start,2021-03-02 10:43:05.897010
*,BB2,2021-03-02 10:43:20.056833
*,BB5,2021-03-02 10:43:35.221602
*,BB2,2021-03-02 10:43:52.980947
0.99,Run,2021-03-02 10:43:53.017759
*,EXIT,2021-03-02 10:44:16.790493
-,END,2021-03-02 10:44:31.824967
+,Session start,2021-03-02 10:45:56.958264
*,BB2,2021-03-02 10:46:17.031059
*,BB5,2021-03-02 10:46:17.769105
*,BB2,2021-03-02 10:46:47.124223
0.4408,Run,2021-03-02 10:46:47.148353
*,EXIT,2021-03-02 10:46:59.309553
-,END,2021-03-02 10:47:14.343394
+,Session start,2021-03-02 10:47:16.713020
*,BB2,2021-03-02 10:47:39.718850
*,BB5,2021-03-02 10:47:40.553246
*,BB2,2021-03-02 10:49:09.205355
8.095,Run,2021-03-02 10:49:09.237457
*,EXIT,2021-03-02 10:49:21.627240
-,END,2021-03-02 10:49:36.663384
+,Session start,2021-03-02 10:50:01.654409
