Rotation,Type,Date_Time
+,Session start,2021-03-01 10:58:37.429031
*,BB2,2021-03-01 10:58:52.572422
*,BB5,2021-03-01 10:58:56.094258
*,BB2,2021-03-01 10:59:16.887269
0.8867,Run,2021-03-01 10:59:16.921201
*,BB5,2021-03-01 10:59:37.200479
-,END,2021-03-01 10:59:52.232301
+,Session start,2021-03-01 10:59:58.014410
*,BB2,2021-03-01 11:00:15.012175
*,BB5,2021-03-01 11:00:16.719854
*,BB2,2021-03-01 11:01:41.220019
2.2417,Run,2021-03-01 11:01:41.257632
*,BB5,2021-03-01 11:02:31.486496
-,END,2021-03-01 11:02:46.511194
+,Session start,2021-03-01 11:02:52.077509
*,BB2,2021-03-01 11:03:11.482648
*,BB5,2021-03-01 11:03:17.185191
*,BB2,2021-03-01 11:03:22.012574
0.7725,Run,2021-03-01 11:03:22.040635
*,BB5,2021-03-01 11:03:36.870785
*,BB2,2021-03-01 11:03:43.002712
0.65,Run,2021-03-01 11:03:43.025084
*,BB5,2021-03-01 11:03:58.959023
-,END,2021-03-01 11:04:13.987110
+,Session start,2021-03-01 11:04:19.763147
*,BB2,2021-03-01 11:04:34.754970
*,BB5,2021-03-01 11:04:37.960125
*,BB2,2021-03-01 11:05:42.748592
2.1567,Run,2021-03-01 11:05:42.774373
*,BB5,2021-03-01 11:06:02.529147
-,END,2021-03-01 11:06:17.563221
+,Session start,2021-03-01 11:06:27.779495
*,BB2,2021-03-01 11:06:45.864987
*,BB5,2021-03-01 11:06:53.307781
*,BB2,2021-03-01 11:07:36.959550
1.8617,Run,2021-03-01 11:07:36.986188
*,BB5,2021-03-01 11:07:43.745172
*,BB2,2021-03-01 11:08:46.400733
4.7317,Run,2021-03-01 11:08:46.438229
*,BB5,2021-03-01 11:09:15.062189
-,END,2021-03-01 11:09:30.096844
+,Session start,2021-03-01 11:09:32.071162
*,BB2,2021-03-01 11:09:47.610701
*,BB5,2021-03-01 11:09:49.986656
*,BB2,2021-03-01 11:11:33.665252
